datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 06:00:00+00:00,2021-01-01 00:00:00-06:00,838.11,0.0155,0.00155,838.97,0.368,0.0043,822.63,0.0152,0.00152,823.47,0.359,0.0042
2021-01-01 07:00:00+00:00,2021-01-01 01:00:00-06:00,845.54,0.0157,0.00155,846.41,0.386,0.0043,829.15,0.0153,0.00153,830.0,0.376,0.0042
2021-01-01 08:00:00+00:00,2021-01-01 02:00:00-06:00,894.24,0.0207,0.00228,895.45,0.449,0.0515,875.24,0.0204,0.00226,876.43,0.438,0.0513
2021-01-01 09:00:00+00:00,2021-01-01 03:00:00-06:00,920.67,0.0223,0.00251,921.98,0.482,0.0636,900.16,0.0219,0.00248,901.45,0.471,0.0634
2021-01-01 10:00:00+00:00,2021-01-01 04:00:00-06:00,933.07,0.0239,0.00277,934.49,0.495,0.0824,912.22,0.0236,0.00274,913.62,0.483,0.0823
2021-01-01 11:00:00+00:00,2021-01-01 05:00:00-06:00,923.71,0.0203,0.00222,924.88,0.482,0.0426,903.03,0.0199,0.00219,904.18,0.47,0.0424
2021-01-01 12:00:00+00:00,2021-01-01 06:00:00-06:00,912.91,0.0169,0.00169,913.84,0.471,0.0047,892.34,0.0165,0.00166,893.25,0.458,0.0045
2021-01-01 13:00:00+00:00,2021-01-01 07:00:00-06:00,920.51,0.0192,0.00204,921.6,0.479,0.0295,899.87,0.0188,0.00201,900.94,0.466,0.0294
2021-01-01 14:00:00+00:00,2021-01-01 08:00:00-06:00,905.02,0.0199,0.00219,906.17,0.466,0.0218,880.12,0.0195,0.00216,881.26,0.455,0.0216
2021-01-01 15:00:00+00:00,2021-01-01 09:00:00-06:00,911.97,0.024,0.00281,913.41,0.47,0.0636,886.68,0.0237,0.00278,888.1,0.459,0.0635
2021-01-01 16:00:00+00:00,2021-01-01 10:00:00-06:00,899.87,0.0249,0.00296,901.38,0.453,0.0792,876.82,0.0246,0.00294,878.31,0.442,0.0791
