datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,483.8,0.0646,0.00908,488.09,0.447,0.378,354.67,0.0646,0.00908,358.95,0.445,0.378
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,491.46,0.066,0.00929,495.83,0.459,0.385,360.12,0.066,0.00928,364.5,0.457,0.385
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,506.14,0.0683,0.0096,510.66,0.474,0.405,370.56,0.0682,0.00959,375.09,0.472,0.405
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,507.98,0.0688,0.00968,512.54,0.478,0.402,369.7,0.0688,0.00967,374.26,0.477,0.402
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,495.05,0.0675,0.00949,499.52,0.469,0.384,358.49,0.0674,0.00948,362.96,0.467,0.383
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,480.09,0.0656,0.00921,484.44,0.453,0.365,346.14,0.0655,0.0092,350.48,0.451,0.365
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,432.71,0.0597,0.00838,436.66,0.415,0.309,306.22,0.0597,0.00837,310.18,0.414,0.309
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,419.24,0.0577,0.00809,423.05,0.396,0.295,296.73,0.0576,0.00808,300.55,0.395,0.295
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,425.38,0.0575,0.00806,429.19,0.397,0.303,306.63,0.0574,0.00805,310.43,0.396,0.303
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,417.48,0.0561,0.00787,421.19,0.388,0.303,302.05,0.056,0.00786,305.76,0.387,0.303
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,396.49,0.0534,0.00748,400.02,0.37,0.287,285.16,0.0533,0.00748,288.69,0.368,0.287
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,402.02,0.054,0.00757,405.6,0.371,0.291,289.86,0.054,0.00757,293.43,0.369,0.291
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,403.2,0.0543,0.00761,406.79,0.374,0.294,289.85,0.0543,0.0076,293.44,0.372,0.294
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,396.9,0.0536,0.00751,400.44,0.369,0.285,284.53,0.0536,0.00751,288.07,0.367,0.285
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,388.97,0.0528,0.00739,392.46,0.362,0.279,277.71,0.0527,0.00738,281.2,0.361,0.279
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,355.76,0.0495,0.00692,359.03,0.338,0.236,246.47,0.0494,0.00691,249.74,0.337,0.236
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,318.28,0.045,0.00628,321.25,0.311,0.194,215.57,0.0449,0.00627,218.54,0.31,0.194
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,313.1,0.0445,0.00622,316.04,0.308,0.186,210.08,0.0445,0.00621,213.02,0.307,0.186
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,323.61,0.046,0.00642,326.65,0.314,0.199,218.42,0.0459,0.00641,221.45,0.312,0.199
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,342.21,0.0483,0.00675,345.4,0.332,0.208,231.8,0.0483,0.00674,234.99,0.33,0.208
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,388.36,0.0534,0.00747,391.89,0.369,0.264,273.81,0.0533,0.00747,277.34,0.368,0.264
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,415.42,0.0569,0.00798,419.18,0.391,0.301,296.57,0.0568,0.00797,300.33,0.39,0.301
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,432.38,0.0595,0.00833,436.31,0.413,0.32,304.3,0.0594,0.00832,308.23,0.411,0.32
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,431.23,0.0611,0.00856,435.28,0.423,0.338,297.79,0.0611,0.00856,301.83,0.421,0.337
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,430.94,0.0634,0.0089,435.14,0.439,0.361,293.14,0.0633,0.00889,297.33,0.437,0.361
2021-01-02 09:00:00+00:00,2021-01-02 01:00:00-08:00,425.4,0.063,0.00884,429.57,0.431,0.382,284.54,0.0629,0.00883,288.71,0.429,0.382
2021-01-02 10:00:00+00:00,2021-01-02 02:00:00-08:00,425.23,0.0632,0.00887,429.41,0.43,0.378,282.35,0.0632,0.00886,286.53,0.428,0.378
2021-01-02 11:00:00+00:00,2021-01-02 03:00:00-08:00,429.09,0.0637,0.00894,433.3,0.432,0.372,287.22,0.0636,0.00893,291.44,0.43,0.372
2021-01-02 12:00:00+00:00,2021-01-02 04:00:00-08:00,431.3,0.0637,0.00894,435.52,0.433,0.378,290.91,0.0636,0.00893,295.12,0.431,0.378
2021-01-02 13:00:00+00:00,2021-01-02 05:00:00-08:00,418.21,0.0614,0.00861,422.27,0.426,0.354,282.33,0.0613,0.0086,286.39,0.424,0.354
2021-01-02 14:00:00+00:00,2021-01-02 06:00:00-08:00,393.13,0.0576,0.00808,396.94,0.397,0.317,263.95,0.0575,0.00807,267.76,0.395,0.317
2021-01-02 15:00:00+00:00,2021-01-02 07:00:00-08:00,389.54,0.0566,0.00794,393.28,0.389,0.319,264.05,0.0565,0.00793,267.79,0.387,0.319
2021-01-02 16:00:00+00:00,2021-01-02 08:00:00-08:00,390.85,0.056,0.00786,394.56,0.392,0.312,269.06,0.056,0.00785,272.77,0.39,0.312
2021-01-02 17:00:00+00:00,2021-01-02 09:00:00-08:00,372.74,0.0537,0.00754,376.3,0.37,0.303,256.03,0.0537,0.00753,259.59,0.369,0.303
2021-01-02 18:00:00+00:00,2021-01-02 10:00:00-08:00,366.42,0.0526,0.00739,369.91,0.364,0.302,252.65,0.0526,0.00738,256.13,0.363,0.302
2021-01-02 19:00:00+00:00,2021-01-02 11:00:00-08:00,353.98,0.051,0.00715,357.36,0.361,0.289,240.93,0.051,0.00714,244.31,0.359,0.289
2021-01-02 20:00:00+00:00,2021-01-02 12:00:00-08:00,349.53,0.0505,0.00708,352.87,0.355,0.279,237.12,0.0505,0.00708,240.46,0.354,0.279
2021-01-02 21:00:00+00:00,2021-01-02 13:00:00-08:00,365.4,0.0526,0.00738,368.88,0.365,0.305,251.19,0.0526,0.00738,254.67,0.363,0.305
2021-01-02 22:00:00+00:00,2021-01-02 14:00:00-08:00,367.34,0.0526,0.00737,370.82,0.366,0.296,252.22,0.0525,0.00736,255.7,0.364,0.296
2021-01-02 23:00:00+00:00,2021-01-02 15:00:00-08:00,341.61,0.0499,0.007,344.91,0.346,0.263,230.45,0.0498,0.00699,233.75,0.344,0.263
2021-01-03 00:00:00+00:00,2021-01-02 16:00:00-08:00,332.31,0.0486,0.00683,335.53,0.34,0.247,226.85,0.0485,0.00682,230.07,0.338,0.247
2021-01-03 01:00:00+00:00,2021-01-02 17:00:00-08:00,330.04,0.0483,0.00679,333.24,0.339,0.25,226.05,0.0483,0.00678,229.25,0.338,0.25
2021-01-03 02:00:00+00:00,2021-01-02 18:00:00-08:00,335.22,0.049,0.00688,338.47,0.344,0.249,227.91,0.049,0.00687,231.15,0.343,0.249
2021-01-03 03:00:00+00:00,2021-01-02 19:00:00-08:00,356.1,0.0519,0.00729,359.54,0.361,0.282,244.62,0.0518,0.00728,248.06,0.359,0.282
2021-01-03 04:00:00+00:00,2021-01-02 20:00:00-08:00,364.86,0.0532,0.00747,368.38,0.37,0.29,249.65,0.0531,0.00746,253.17,0.368,0.29
2021-01-03 05:00:00+00:00,2021-01-02 21:00:00-08:00,355.76,0.0526,0.00737,359.24,0.363,0.292,235.09,0.0526,0.00736,238.56,0.361,0.292
2021-01-03 06:00:00+00:00,2021-01-02 22:00:00-08:00,363.01,0.0545,0.00761,366.61,0.385,0.285,232.89,0.0544,0.0076,236.48,0.383,0.285
2021-01-03 07:00:00+00:00,2021-01-02 23:00:00-08:00,369.18,0.0561,0.00785,372.88,0.398,0.279,233.19,0.0561,0.00784,236.89,0.396,0.279
2021-01-03 08:00:00+00:00,2021-01-03 00:00:00-08:00,396.19,0.06,0.00839,400.16,0.418,0.308,254.01,0.0599,0.00838,257.97,0.416,0.307
2021-01-03 09:00:00+00:00,2021-01-03 01:00:00-08:00,394.37,0.0601,0.0084,398.34,0.415,0.313,250.91,0.06,0.00839,254.88,0.413,0.313
2021-01-03 10:00:00+00:00,2021-01-03 02:00:00-08:00,403.3,0.0614,0.00859,407.36,0.425,0.33,257.14,0.0614,0.00858,261.19,0.423,0.33
2021-01-03 11:00:00+00:00,2021-01-03 03:00:00-08:00,403.02,0.0613,0.00858,407.08,0.419,0.338,258.35,0.0613,0.00857,262.4,0.417,0.338
2021-01-03 12:00:00+00:00,2021-01-03 04:00:00-08:00,399.5,0.0608,0.00851,403.52,0.41,0.333,256.41,0.0608,0.0085,260.42,0.408,0.333
2021-01-03 13:00:00+00:00,2021-01-03 05:00:00-08:00,387.34,0.0589,0.00824,391.23,0.404,0.309,246.87,0.0589,0.00823,250.76,0.402,0.309
2021-01-03 14:00:00+00:00,2021-01-03 06:00:00-08:00,366.92,0.0559,0.00783,370.62,0.385,0.276,232.81,0.0559,0.00782,236.51,0.383,0.276
2021-01-03 15:00:00+00:00,2021-01-03 07:00:00-08:00,362.35,0.0546,0.00763,365.96,0.376,0.266,233.52,0.0545,0.00763,237.12,0.375,0.266
2021-01-03 16:00:00+00:00,2021-01-03 08:00:00-08:00,383.37,0.0561,0.00788,387.08,0.389,0.296,261.01,0.0561,0.00787,264.73,0.388,0.296
2021-01-03 17:00:00+00:00,2021-01-03 09:00:00-08:00,373.3,0.0545,0.00764,376.91,0.381,0.274,253.85,0.0545,0.00763,257.46,0.379,0.274
2021-01-03 18:00:00+00:00,2021-01-03 10:00:00-08:00,369.34,0.054,0.00757,372.91,0.38,0.258,250.2,0.054,0.00757,253.77,0.378,0.258
2021-01-03 19:00:00+00:00,2021-01-03 11:00:00-08:00,366.23,0.0537,0.00752,369.78,0.38,0.253,246.85,0.0536,0.00751,250.4,0.379,0.253
