datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 07:00:00+00:00,2021-01-01 00:00:00-07:00,982.09,0.0695,0.0096,986.65,0.647,0.097,964.79,0.0695,0.0096,969.36,0.647,0.097
2021-01-01 08:00:00+00:00,2021-01-01 01:00:00-07:00,952.83,0.0679,0.0094,957.29,0.629,0.096,935.94,0.0679,0.0094,940.4,0.628,0.096
2021-01-01 09:00:00+00:00,2021-01-01 02:00:00-07:00,925.82,0.0646,0.0089,930.06,0.59,0.084,909.27,0.0645,0.0089,913.51,0.59,0.084
2021-01-01 10:00:00+00:00,2021-01-01 03:00:00-07:00,917.07,0.064,0.0088,921.27,0.577,0.085,900.92,0.064,0.0088,905.12,0.576,0.085
2021-01-01 11:00:00+00:00,2021-01-01 04:00:00-07:00,925.37,0.0652,0.009,929.65,0.594,0.09,908.98,0.0652,0.009,913.26,0.593,0.09
2021-01-01 12:00:00+00:00,2021-01-01 05:00:00-07:00,930.09,0.066,0.0091,934.42,0.596,0.102,913.47,0.066,0.0091,917.81,0.595,0.102
2021-01-01 13:00:00+00:00,2021-01-01 06:00:00-07:00,967.64,0.0684,0.0095,972.13,0.618,0.105,950.98,0.0684,0.0095,955.47,0.618,0.105
2021-01-01 14:00:00+00:00,2021-01-01 07:00:00-07:00,991.6,0.0691,0.0095,996.13,0.669,0.105,974.74,0.0691,0.0095,979.27,0.668,0.105
2021-01-01 15:00:00+00:00,2021-01-01 08:00:00-07:00,908.91,0.063,0.0087,913.04,0.566,0.083,892.23,0.063,0.0087,896.36,0.566,0.083
2021-01-01 16:00:00+00:00,2021-01-01 09:00:00-07:00,813.96,0.0563,0.0078,817.65,0.45,0.055,798.67,0.0563,0.0078,802.36,0.45,0.055
2021-01-01 17:00:00+00:00,2021-01-01 10:00:00-07:00,761.29,0.0536,0.0074,764.8,0.435,0.051,745.62,0.0536,0.0074,749.13,0.434,0.051
2021-01-01 18:00:00+00:00,2021-01-01 11:00:00-07:00,720.37,0.0515,0.0071,723.75,0.408,0.049,704.74,0.0515,0.0071,708.12,0.408,0.049
2021-01-01 19:00:00+00:00,2021-01-01 12:00:00-07:00,724.52,0.0525,0.0073,727.97,0.412,0.05,708.48,0.0525,0.0073,711.93,0.411,0.05
2021-01-01 20:00:00+00:00,2021-01-01 13:00:00-07:00,720.66,0.0523,0.0072,724.1,0.409,0.049,704.72,0.0523,0.0072,708.16,0.409,0.049
2021-01-01 21:00:00+00:00,2021-01-01 14:00:00-07:00,720.26,0.0521,0.0072,723.68,0.407,0.05,704.5,0.0521,0.0072,707.91,0.407,0.05
2021-01-01 22:00:00+00:00,2021-01-01 15:00:00-07:00,743.76,0.0545,0.0076,747.34,0.412,0.056,728.01,0.0545,0.0075,731.59,0.411,0.056
2021-01-01 23:00:00+00:00,2021-01-01 16:00:00-07:00,826.48,0.0593,0.0082,830.38,0.476,0.058,810.36,0.0593,0.0082,814.26,0.475,0.058
2021-01-02 00:00:00+00:00,2021-01-01 17:00:00-07:00,989.16,0.0663,0.0091,993.5,0.62,0.07,974.11,0.0663,0.0091,978.45,0.62,0.07
2021-01-02 01:00:00+00:00,2021-01-01 18:00:00-07:00,1012.87,0.0687,0.0095,1017.38,0.657,0.085,997.85,0.0687,0.0095,1002.36,0.656,0.085
2021-01-02 02:00:00+00:00,2021-01-01 19:00:00-07:00,1008.6,0.0681,0.0094,1013.06,0.648,0.087,993.81,0.068,0.0094,998.26,0.647,0.087
2021-01-02 03:00:00+00:00,2021-01-01 20:00:00-07:00,1032.82,0.0707,0.0098,1037.45,0.673,0.096,1017.66,0.0707,0.0098,1022.29,0.672,0.096
2021-01-02 04:00:00+00:00,2021-01-01 21:00:00-07:00,1038.15,0.073,0.0101,1042.94,0.69,0.1,1022.42,0.073,0.0101,1027.22,0.69,0.1
2021-01-02 05:00:00+00:00,2021-01-01 22:00:00-07:00,991.04,0.0698,0.0097,995.63,0.661,0.093,975.28,0.0698,0.0097,979.87,0.661,0.093
2021-01-02 06:00:00+00:00,2021-01-01 23:00:00-07:00,981.9,0.0705,0.0098,986.53,0.642,0.096,965.21,0.0705,0.0098,969.84,0.641,0.096
2021-01-02 07:00:00+00:00,2021-01-02 00:00:00-07:00,967.72,0.07,0.0097,972.33,0.598,0.096,950.71,0.07,0.0097,955.31,0.598,0.096
2021-01-02 08:00:00+00:00,2021-01-02 01:00:00-07:00,951.35,0.0679,0.0094,955.81,0.58,0.089,934.49,0.0679,0.0094,938.95,0.58,0.089
2021-01-02 09:00:00+00:00,2021-01-02 02:00:00-07:00,949.55,0.0677,0.0094,954.0,0.575,0.09,932.72,0.0677,0.0094,937.17,0.575,0.09
2021-01-02 10:00:00+00:00,2021-01-02 03:00:00-07:00,948.88,0.0679,0.0094,953.34,0.57,0.083,932.12,0.0679,0.0094,936.58,0.57,0.083
2021-01-02 11:00:00+00:00,2021-01-02 04:00:00-07:00,963.97,0.0699,0.0097,968.56,0.583,0.087,947.02,0.0699,0.0097,951.61,0.583,0.087
2021-01-02 12:00:00+00:00,2021-01-02 05:00:00-07:00,963.35,0.0706,0.0098,967.99,0.598,0.106,946.42,0.0705,0.0098,951.07,0.597,0.106
2021-01-02 13:00:00+00:00,2021-01-02 06:00:00-07:00,1022.03,0.0724,0.01,1026.78,0.634,0.099,1006.18,0.0723,0.01,1010.93,0.633,0.099
2021-01-02 14:00:00+00:00,2021-01-02 07:00:00-07:00,1031.31,0.0707,0.0098,1035.94,0.704,0.103,1015.22,0.0707,0.0098,1019.85,0.704,0.103
2021-01-02 15:00:00+00:00,2021-01-02 08:00:00-07:00,980.81,0.0661,0.0091,985.14,0.663,0.099,966.18,0.0661,0.0091,970.51,0.662,0.099
2021-01-02 16:00:00+00:00,2021-01-02 09:00:00-07:00,909.07,0.062,0.0086,913.13,0.612,0.077,894.81,0.062,0.0086,898.87,0.612,0.077
2021-01-02 17:00:00+00:00,2021-01-02 10:00:00-07:00,845.71,0.0588,0.0081,849.57,0.572,0.071,831.79,0.0588,0.0081,835.65,0.571,0.071
2021-01-02 18:00:00+00:00,2021-01-02 11:00:00-07:00,783.21,0.0535,0.0074,786.72,0.552,0.063,768.54,0.0534,0.0074,772.04,0.551,0.063
2021-01-02 19:00:00+00:00,2021-01-02 12:00:00-07:00,769.9,0.0537,0.0074,773.42,0.537,0.065,755.23,0.0537,0.0074,758.75,0.537,0.065
2021-01-02 20:00:00+00:00,2021-01-02 13:00:00-07:00,775.48,0.0548,0.0076,779.07,0.541,0.077,760.96,0.0548,0.0076,764.56,0.54,0.077
2021-01-02 21:00:00+00:00,2021-01-02 14:00:00-07:00,778.5,0.0554,0.0077,782.14,0.531,0.071,764.0,0.0554,0.0077,767.64,0.53,0.071
2021-01-02 22:00:00+00:00,2021-01-02 15:00:00-07:00,816.93,0.0581,0.008,820.75,0.559,0.071,801.51,0.0581,0.008,805.33,0.558,0.071
2021-01-02 23:00:00+00:00,2021-01-02 16:00:00-07:00,887.36,0.0602,0.0083,891.3,0.603,0.069,873.07,0.0602,0.0083,877.02,0.602,0.069
2021-01-03 00:00:00+00:00,2021-01-02 17:00:00-07:00,968.37,0.064,0.0088,972.55,0.659,0.08,953.2,0.064,0.0088,957.39,0.659,0.08
2021-01-03 01:00:00+00:00,2021-01-02 18:00:00-07:00,1006.61,0.0687,0.0095,1011.11,0.674,0.102,991.24,0.0686,0.0095,995.74,0.674,0.102
2021-01-03 02:00:00+00:00,2021-01-02 19:00:00-07:00,1015.86,0.0698,0.0096,1020.44,0.682,0.11,999.94,0.0698,0.0096,1004.51,0.682,0.11
2021-01-03 03:00:00+00:00,2021-01-02 20:00:00-07:00,1015.17,0.0711,0.0098,1019.84,0.692,0.112,999.32,0.0711,0.0098,1003.99,0.692,0.112
2021-01-03 04:00:00+00:00,2021-01-02 21:00:00-07:00,1017.4,0.0723,0.01,1022.15,0.711,0.112,1002.13,0.0722,0.01,1006.88,0.71,0.112
2021-01-03 05:00:00+00:00,2021-01-02 22:00:00-07:00,1021.96,0.0724,0.01,1026.72,0.725,0.102,1006.94,0.0723,0.01,1011.7,0.725,0.102
2021-01-03 06:00:00+00:00,2021-01-02 23:00:00-07:00,1023.7,0.0736,0.0102,1028.54,0.714,0.101,1008.79,0.0735,0.0102,1013.63,0.713,0.101
2021-01-03 07:00:00+00:00,2021-01-03 00:00:00-07:00,1007.33,0.074,0.0103,1012.2,0.715,0.107,991.0,0.0739,0.0103,995.87,0.714,0.107
2021-01-03 08:00:00+00:00,2021-01-03 01:00:00-07:00,993.93,0.0752,0.0105,998.9,0.681,0.112,977.17,0.0752,0.0105,982.13,0.681,0.112
2021-01-03 09:00:00+00:00,2021-01-03 02:00:00-07:00,990.73,0.075,0.0104,995.67,0.674,0.114,973.74,0.0749,0.0104,978.68,0.674,0.114
2021-01-03 10:00:00+00:00,2021-01-03 03:00:00-07:00,994.82,0.0755,0.0105,999.81,0.677,0.118,978.32,0.0755,0.0105,983.3,0.676,0.118
2021-01-03 11:00:00+00:00,2021-01-03 04:00:00-07:00,989.23,0.0744,0.0104,994.13,0.677,0.113,972.39,0.0744,0.0104,977.3,0.676,0.113
2021-01-03 12:00:00+00:00,2021-01-03 05:00:00-07:00,992.46,0.0728,0.0101,997.25,0.677,0.124,975.3,0.0728,0.0101,980.09,0.676,0.124
2021-01-03 13:00:00+00:00,2021-01-03 06:00:00-07:00,993.46,0.0695,0.0096,998.02,0.666,0.104,976.88,0.0695,0.0096,981.44,0.665,0.104
2021-01-03 14:00:00+00:00,2021-01-03 07:00:00-07:00,1022.45,0.0719,0.01,1027.18,0.712,0.104,1006.75,0.0719,0.01,1011.48,0.711,0.104
2021-01-03 15:00:00+00:00,2021-01-03 08:00:00-07:00,964.81,0.068,0.0094,969.28,0.648,0.092,949.83,0.068,0.0094,954.29,0.647,0.092
2021-01-03 16:00:00+00:00,2021-01-03 09:00:00-07:00,893.28,0.0626,0.0087,897.39,0.602,0.076,878.95,0.0626,0.0087,883.05,0.601,0.076
2021-01-03 17:00:00+00:00,2021-01-03 10:00:00-07:00,859.21,0.0604,0.0083,863.17,0.607,0.069,844.18,0.0603,0.0083,848.14,0.606,0.069
2021-01-03 18:00:00+00:00,2021-01-03 11:00:00-07:00,837.55,0.06,0.0083,841.49,0.606,0.071,822.13,0.06,0.0083,826.07,0.606,0.071
2021-01-03 19:00:00+00:00,2021-01-03 12:00:00-07:00,828.75,0.0605,0.0084,832.72,0.592,0.07,813.37,0.0605,0.0084,817.35,0.591,0.07
2021-01-03 20:00:00+00:00,2021-01-03 13:00:00-07:00,806.9,0.0583,0.0081,810.73,0.587,0.069,792.11,0.0583,0.0081,795.94,0.587,0.069
2021-01-03 21:00:00+00:00,2021-01-03 14:00:00-07:00,812.01,0.0609,0.0085,816.02,0.579,0.077,796.56,0.0609,0.0085,800.57,0.579,0.077
2021-01-03 22:00:00+00:00,2021-01-03 15:00:00-07:00,821.54,0.0611,0.0085,825.56,0.584,0.07,806.67,0.061,0.0085,810.69,0.583,0.07
2021-01-03 23:00:00+00:00,2021-01-03 16:00:00-07:00,916.53,0.0649,0.009,920.79,0.637,0.077,901.06,0.0649,0.009,905.32,0.637,0.077
2021-01-04 00:00:00+00:00,2021-01-03 17:00:00-07:00,1020.64,0.072,0.01,1025.37,0.715,0.106,1004.85,0.072,0.01,1009.58,0.714,0.106
2021-01-04 01:00:00+00:00,2021-01-03 18:00:00-07:00,1047.31,0.0735,0.0102,1052.14,0.722,0.118,1032.92,0.0734,0.0102,1037.75,0.722,0.118
2021-01-04 02:00:00+00:00,2021-01-03 19:00:00-07:00,1043.41,0.0733,0.0102,1048.23,0.733,0.111,1028.79,0.0733,0.0102,1033.61,0.732,0.11
2021-01-04 03:00:00+00:00,2021-01-03 20:00:00-07:00,1055.1,0.0759,0.0105,1060.1,0.748,0.153,1040.64,0.0759,0.0105,1045.63,0.747,0.153
2021-01-04 04:00:00+00:00,2021-01-03 21:00:00-07:00,1057.6,0.0804,0.0112,1062.91,0.662,0.174,1042.49,0.0804,0.0112,1047.8,0.662,0.174
2021-01-04 05:00:00+00:00,2021-01-03 22:00:00-07:00,1029.88,0.083,0.0117,1035.37,0.655,0.212,1012.94,0.083,0.0116,1018.44,0.654,0.212
2021-01-04 06:00:00+00:00,2021-01-03 23:00:00-07:00,1017.2,0.0831,0.0117,1022.7,0.641,0.417,1000.29,0.083,0.0117,1005.79,0.64,0.417
2021-01-04 07:00:00+00:00,2021-01-04 00:00:00-07:00,1001.88,0.0801,0.0112,1007.19,0.63,0.378,985.16,0.0801,0.0112,990.46,0.629,0.378
2021-01-04 08:00:00+00:00,2021-01-04 01:00:00-07:00,1026.3,0.0818,0.0115,1031.71,0.648,0.168,1010.32,0.0818,0.0115,1015.73,0.647,0.168
2021-01-04 09:00:00+00:00,2021-01-04 02:00:00-07:00,1030.1,0.084,0.0118,1035.67,0.682,0.176,1014.4,0.084,0.0118,1019.97,0.681,0.176
2021-01-04 10:00:00+00:00,2021-01-04 03:00:00-07:00,1034.43,0.0831,0.0117,1039.93,0.685,0.159,1019.01,0.0831,0.0117,1024.51,0.684,0.159
2021-01-04 11:00:00+00:00,2021-01-04 04:00:00-07:00,1036.13,0.0834,0.0117,1041.66,0.712,0.139,1021.1,0.0834,0.0117,1026.62,0.711,0.139
2021-01-04 12:00:00+00:00,2021-01-04 05:00:00-07:00,1066.86,0.0857,0.012,1072.54,0.682,0.156,1052.1,0.0857,0.012,1057.78,0.681,0.156
2021-01-04 13:00:00+00:00,2021-01-04 06:00:00-07:00,1060.18,0.0833,0.0117,1065.69,0.532,0.129,1046.03,0.0832,0.0117,1051.54,0.531,0.129
2021-01-04 14:00:00+00:00,2021-01-04 07:00:00-07:00,1070.48,0.0826,0.0116,1075.94,0.602,0.118,1057.48,0.0826,0.0116,1062.95,0.601,0.118
2021-01-04 15:00:00+00:00,2021-01-04 08:00:00-07:00,1012.47,0.0769,0.0108,1017.55,0.544,0.093,1000.1,0.0769,0.0107,1005.18,0.543,0.093
2021-01-04 16:00:00+00:00,2021-01-04 09:00:00-07:00,928.37,0.0713,0.01,933.09,0.49,0.077,916.27,0.0713,0.01,920.98,0.49,0.077
