datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,469.76,0.0171,0.00219,470.84,0.308,0.0963,457.79,0.017,0.00218,458.86,0.304,0.0962
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,461.05,0.0177,0.00231,462.18,0.312,0.1044,448.14,0.0176,0.00229,449.26,0.308,0.1043
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,466.38,0.0183,0.00239,467.54,0.323,0.113,453.14,0.0181,0.00237,454.3,0.318,0.1129
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,476.68,0.018,0.00232,477.82,0.311,0.1063,464.0,0.0179,0.00231,465.13,0.306,0.1063
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,463.93,0.0182,0.00237,465.09,0.326,0.1079,450.59,0.018,0.00236,451.73,0.321,0.1078
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,460.48,0.0177,0.0023,461.61,0.308,0.0999,448.02,0.0176,0.00229,449.14,0.304,0.0998
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,455.2,0.0172,0.00222,456.29,0.294,0.0901,443.64,0.0171,0.00221,444.72,0.29,0.09
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,448.91,0.0165,0.00212,449.95,0.306,0.0854,437.15,0.0163,0.00211,438.18,0.302,0.0853
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,530.14,0.0185,0.00229,531.29,0.401,0.0714,509.72,0.0183,0.00227,510.85,0.395,0.0713
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,537.27,0.0185,0.0022,538.39,0.436,0.0344,506.47,0.0183,0.00218,507.58,0.429,0.0343
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,531.93,0.0183,0.00215,533.03,0.433,0.0217,497.83,0.0181,0.00213,498.92,0.425,0.0216
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,516.16,0.0184,0.00217,517.26,0.407,0.0205,480.02,0.0182,0.00215,481.12,0.399,0.0204
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,530.53,0.0183,0.00214,531.62,0.418,0.0173,495.0,0.018,0.00212,496.08,0.41,0.0171
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,541.09,0.0188,0.00222,542.22,0.44,0.0242,505.76,0.0186,0.0022,506.88,0.432,0.024
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,546.06,0.0181,0.00216,547.16,0.379,0.0453,519.71,0.0179,0.00214,520.79,0.373,0.0452
