datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,229.12,0.0199,0.00289,230.47,0.169,0.176,217.41,0.0199,0.00289,218.75,0.167,0.176
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,229.23,0.0207,0.00302,230.63,0.168,0.183,217.1,0.0207,0.00302,218.5,0.167,0.183
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,239.01,0.0216,0.00316,240.47,0.177,0.198,226.6,0.0216,0.00315,228.07,0.175,0.198
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,237.95,0.0216,0.00315,239.41,0.177,0.196,225.45,0.0216,0.00315,226.91,0.176,0.196
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,237.22,0.0217,0.00316,238.69,0.177,0.191,224.72,0.0216,0.00316,226.19,0.175,0.191
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,231.68,0.0212,0.0031,233.12,0.172,0.18,219.81,0.0212,0.00309,221.24,0.17,0.18
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,230.72,0.0208,0.00303,232.12,0.18,0.167,219.24,0.0208,0.00303,220.65,0.179,0.167
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,223.34,0.0198,0.00288,224.67,0.159,0.16,211.98,0.0197,0.00287,213.32,0.158,0.16
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,242.9,0.0216,0.00314,244.36,0.173,0.186,230.45,0.0216,0.00314,231.91,0.172,0.186
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,239.71,0.0212,0.00308,241.14,0.168,0.183,227.12,0.0211,0.00307,228.54,0.167,0.183
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,235.83,0.0205,0.00298,237.21,0.171,0.192,222.7,0.0204,0.00297,224.09,0.17,0.192
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,244.97,0.0214,0.00311,246.41,0.176,0.192,231.77,0.0213,0.00311,233.21,0.175,0.192
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,244.0,0.0211,0.00307,245.43,0.176,0.198,230.69,0.0211,0.00307,232.12,0.174,0.198
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,249.95,0.0216,0.00315,251.41,0.18,0.199,236.27,0.0216,0.00314,237.73,0.178,0.199
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,246.21,0.0213,0.0031,247.65,0.177,0.2,232.68,0.0213,0.0031,234.12,0.175,0.2
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,218.75,0.0192,0.00279,220.05,0.159,0.15,207.13,0.0191,0.00278,208.43,0.157,0.15
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,206.19,0.0181,0.00263,207.42,0.162,0.125,196.2,0.0181,0.00263,197.42,0.161,0.125
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,205.4,0.0182,0.00264,206.63,0.158,0.124,195.75,0.0182,0.00264,196.98,0.157,0.124
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,200.64,0.0178,0.00258,201.84,0.153,0.131,190.64,0.0177,0.00258,191.84,0.152,0.131
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,204.04,0.0177,0.00256,205.24,0.151,0.127,194.04,0.0176,0.00256,195.23,0.15,0.127
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,204.05,0.0178,0.00258,205.24,0.149,0.137,193.59,0.0177,0.00257,194.78,0.147,0.137
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,203.63,0.0185,0.0027,204.89,0.155,0.148,192.8,0.0185,0.0027,194.05,0.154,0.148
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,185.19,0.0164,0.00239,186.3,0.142,0.147,173.82,0.0164,0.00239,174.92,0.141,0.147
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,169.15,0.0153,0.00224,170.19,0.135,0.148,157.02,0.0152,0.00223,158.06,0.134,0.148
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,169.62,0.0157,0.0023,170.69,0.144,0.157,156.94,0.0157,0.0023,158.01,0.142,0.157
2021-01-02 09:00:00+00:00,2021-01-02 01:00:00-08:00,161.73,0.0147,0.00215,162.73,0.137,0.15,148.51,0.0146,0.00215,149.5,0.136,0.15
2021-01-02 10:00:00+00:00,2021-01-02 02:00:00-08:00,159.23,0.0145,0.00213,160.21,0.134,0.142,146.02,0.0144,0.00212,147.0,0.132,0.142
2021-01-02 11:00:00+00:00,2021-01-02 03:00:00-08:00,169.21,0.0155,0.00228,170.26,0.139,0.153,155.99,0.0155,0.00227,157.04,0.137,0.153
2021-01-02 12:00:00+00:00,2021-01-02 04:00:00-08:00,163.77,0.0149,0.00219,164.79,0.138,0.156,150.83,0.0149,0.00218,151.84,0.136,0.156
2021-01-02 13:00:00+00:00,2021-01-02 05:00:00-08:00,161.87,0.0142,0.00208,162.84,0.142,0.143,149.66,0.0142,0.00208,150.63,0.141,0.143
2021-01-02 14:00:00+00:00,2021-01-02 06:00:00-08:00,150.86,0.013,0.00191,151.75,0.123,0.122,139.46,0.013,0.0019,140.35,0.121,0.122
2021-01-02 15:00:00+00:00,2021-01-02 07:00:00-08:00,148.15,0.0128,0.00186,149.02,0.12,0.122,136.9,0.0127,0.00186,137.77,0.118,0.122
2021-01-02 16:00:00+00:00,2021-01-02 08:00:00-08:00,165.51,0.0145,0.00212,166.49,0.134,0.134,153.4,0.0145,0.00212,154.38,0.133,0.134
2021-01-02 17:00:00+00:00,2021-01-02 09:00:00-08:00,165.89,0.0146,0.00213,166.87,0.131,0.142,153.76,0.0145,0.00212,154.75,0.13,0.142
2021-01-02 18:00:00+00:00,2021-01-02 10:00:00-08:00,162.44,0.0142,0.00207,163.4,0.136,0.14,150.73,0.0142,0.00207,151.69,0.134,0.14
2021-01-02 19:00:00+00:00,2021-01-02 11:00:00-08:00,155.48,0.0133,0.00194,156.39,0.133,0.129,143.83,0.0133,0.00194,144.73,0.131,0.129
