datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,641.06,0.039,0.00502,643.52,0.541,0.0744,573.83,0.0388,0.005,576.27,0.533,0.0742
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,631.21,0.0389,0.00499,633.65,0.542,0.0715,560.91,0.0386,0.00497,563.35,0.534,0.0714
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,612.22,0.0386,0.00497,614.65,0.525,0.0731,540.56,0.0384,0.00494,542.97,0.517,0.073
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,622.66,0.04,0.00516,625.18,0.538,0.0782,548.44,0.0398,0.00514,550.95,0.529,0.0781
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,627.78,0.0401,0.00516,630.31,0.546,0.0772,553.0,0.0398,0.00514,555.51,0.538,0.077
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,631.91,0.0407,0.00526,634.48,0.531,0.0793,558.23,0.0404,0.00523,560.79,0.523,0.0792
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,636.45,0.0407,0.00527,639.03,0.534,0.0797,564.53,0.0405,0.00524,567.09,0.525,0.0796
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,624.25,0.0392,0.00505,626.72,0.597,0.0743,552.11,0.039,0.00503,554.57,0.589,0.0741
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,488.88,0.0342,0.0044,491.04,0.523,0.0565,414.48,0.034,0.00437,416.62,0.514,0.0563
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,377.43,0.0292,0.00374,379.27,0.452,0.0429,306.45,0.0289,0.00372,308.27,0.444,0.0427
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,344.75,0.0289,0.00372,346.57,0.458,0.041,271.37,0.0287,0.00369,273.18,0.45,0.0408
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,333.31,0.0288,0.00371,335.13,0.45,0.0409,258.46,0.0286,0.00369,260.26,0.441,0.0408
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,341.25,0.0294,0.00378,343.11,0.459,0.0413,264.91,0.0292,0.00376,266.75,0.451,0.0412
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,347.27,0.0296,0.0038,349.14,0.452,0.0426,271.23,0.0293,0.00378,273.08,0.444,0.0424
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,385.19,0.0307,0.00395,387.12,0.446,0.047,310.29,0.0305,0.00392,312.21,0.437,0.0469
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,451.44,0.0322,0.00414,453.47,0.398,0.053,381.24,0.0319,0.00412,383.26,0.39,0.0529
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,601.02,0.0381,0.00491,603.42,0.417,0.069,532.36,0.0378,0.00488,534.75,0.409,0.0688
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,664.16,0.0379,0.00485,666.54,0.476,0.0683,602.12,0.0377,0.00483,604.48,0.468,0.0682
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,658.91,0.0369,0.00472,661.23,0.505,0.0687,599.93,0.0367,0.0047,602.24,0.498,0.0686
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,656.3,0.0375,0.00481,658.66,0.526,0.0707,596.91,0.0373,0.00478,599.25,0.519,0.0706
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,660.89,0.0379,0.00486,663.27,0.536,0.0735,600.94,0.0377,0.00484,603.31,0.529,0.0734
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,658.59,0.0382,0.00491,661.0,0.542,0.076,597.66,0.038,0.00489,600.05,0.535,0.0758
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,654.23,0.0383,0.00491,656.64,0.548,0.0746,590.57,0.038,0.00489,592.96,0.54,0.0745
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,640.56,0.0384,0.00493,642.97,0.553,0.0739,572.87,0.0381,0.0049,575.27,0.545,0.0738
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,632.97,0.0386,0.00495,635.39,0.553,0.0751,562.26,0.0383,0.00492,564.68,0.545,0.075
