datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,403.36,0.0321,0.00461,405.52,0.466,0.158,349.1,0.032,0.00461,351.25,0.463,0.158
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,391.41,0.0287,0.00418,393.35,0.47,0.123,345.88,0.0287,0.00417,347.82,0.467,0.123
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,385.55,0.0273,0.00399,387.4,0.461,0.095,343.14,0.0272,0.00398,344.99,0.458,0.095
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,382.92,0.0272,0.00396,384.76,0.454,0.093,340.06,0.0271,0.00395,341.9,0.451,0.093
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,390.93,0.0269,0.00391,392.74,0.457,0.091,349.06,0.0268,0.0039,350.88,0.455,0.091
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,399.47,0.0266,0.00385,401.27,0.457,0.081,358.81,0.0265,0.00384,360.59,0.454,0.081
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,400.31,0.0281,0.00409,402.21,0.438,0.082,358.97,0.0281,0.00408,360.86,0.435,0.082
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,404.1,0.0289,0.0042,406.05,0.468,0.083,362.02,0.0288,0.00419,363.96,0.465,0.083
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,406.08,0.0279,0.00403,407.96,0.435,0.082,365.83,0.0278,0.00402,367.71,0.432,0.082
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,426.39,0.0265,0.00379,428.17,0.392,0.081,389.33,0.0264,0.00378,391.1,0.39,0.081
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,431.22,0.0268,0.00382,433.01,0.403,0.085,395.04,0.0267,0.00382,396.82,0.401,0.085
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,428.68,0.0263,0.00375,430.44,0.399,0.081,392.82,0.0262,0.00375,394.57,0.396,0.081
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,428.0,0.0262,0.00374,429.75,0.39,0.084,392.22,0.0261,0.00373,393.96,0.387,0.084
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,422.44,0.0257,0.00368,424.16,0.394,0.082,385.93,0.0256,0.00367,387.65,0.392,0.082
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,419.03,0.0254,0.00363,420.73,0.39,0.074,382.18,0.0253,0.00363,383.87,0.387,0.074
2021-01-01 20:00:00+00:00,2021-01-01 15:00:00-05:00,422.39,0.0256,0.00367,424.11,0.397,0.074,385.34,0.0256,0.00366,387.05,0.394,0.074
2021-01-01 21:00:00+00:00,2021-01-01 16:00:00-05:00,422.22,0.0258,0.00369,423.94,0.405,0.075,385.14,0.0257,0.00368,386.86,0.402,0.075
2021-01-01 22:00:00+00:00,2021-01-01 17:00:00-05:00,434.53,0.0271,0.00388,436.35,0.391,0.08,397.88,0.027,0.00387,399.69,0.388,0.08
2021-01-01 23:00:00+00:00,2021-01-01 18:00:00-05:00,434.17,0.0268,0.00382,435.96,0.402,0.085,397.63,0.0267,0.00382,399.42,0.399,0.085
2021-01-02 00:00:00+00:00,2021-01-01 19:00:00-05:00,433.51,0.0266,0.0038,435.29,0.411,0.088,397.23,0.0265,0.00379,399.01,0.409,0.088
2021-01-02 01:00:00+00:00,2021-01-01 20:00:00-05:00,434.01,0.0265,0.00379,435.79,0.417,0.087,397.21,0.0265,0.00378,398.98,0.415,0.087
2021-01-02 02:00:00+00:00,2021-01-01 21:00:00-05:00,423.85,0.0256,0.00365,425.56,0.387,0.08,386.62,0.0255,0.00365,388.33,0.384,0.08
2021-01-02 03:00:00+00:00,2021-01-01 22:00:00-05:00,421.81,0.0259,0.00371,423.54,0.386,0.086,384.09,0.0258,0.0037,385.82,0.383,0.086
2021-01-02 04:00:00+00:00,2021-01-01 23:00:00-05:00,410.87,0.0261,0.00376,412.63,0.395,0.085,371.98,0.026,0.00375,373.73,0.392,0.085
2021-01-02 05:00:00+00:00,2021-01-02 00:00:00-05:00,410.21,0.0269,0.00388,412.02,0.448,0.09,370.26,0.0268,0.00387,372.06,0.446,0.09
2021-01-02 06:00:00+00:00,2021-01-02 01:00:00-05:00,379.77,0.0271,0.00396,381.6,0.449,0.092,337.76,0.027,0.00395,339.59,0.446,0.092
2021-01-02 07:00:00+00:00,2021-01-02 02:00:00-05:00,370.21,0.0279,0.0041,372.11,0.477,0.1,326.72,0.0278,0.00409,328.62,0.474,0.1
2021-01-02 08:00:00+00:00,2021-01-02 03:00:00-05:00,376.78,0.0287,0.0042,378.73,0.458,0.106,333.18,0.0286,0.0042,335.12,0.455,0.106
2021-01-02 09:00:00+00:00,2021-01-02 04:00:00-05:00,386.47,0.0288,0.0042,388.42,0.438,0.108,343.6,0.0287,0.0042,345.54,0.435,0.108
