datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,384.39,0.0231,0.00318,385.9,0.245,0.034,373.08,0.023,0.00317,374.59,0.241,0.034
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,362.66,0.0211,0.00289,364.04,0.231,0.029,352.43,0.021,0.00288,353.8,0.228,0.029
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,341.59,0.0199,0.00272,342.89,0.228,0.027,332.02,0.0198,0.00271,333.31,0.225,0.027
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,341.16,0.0191,0.00261,342.41,0.194,0.026,332.11,0.019,0.0026,333.35,0.191,0.026
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,311.89,0.017,0.00232,313.0,0.174,0.024,304.07,0.017,0.00231,305.17,0.172,0.024
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,335.92,0.0179,0.00243,337.08,0.174,0.026,327.75,0.0178,0.00242,328.9,0.171,0.026
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,333.16,0.0167,0.00225,334.24,0.167,0.025,325.66,0.0167,0.00224,326.73,0.164,0.025
