datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,360.59,0.0215,0.00295,362.0,0.219,0.037,349.86,0.0214,0.00294,351.26,0.215,0.037
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,361.76,0.0217,0.003,363.19,0.233,0.035,350.77,0.0216,0.00299,352.18,0.23,0.035
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,363.64,0.0219,0.00302,365.08,0.238,0.034,352.35,0.0218,0.00301,353.78,0.234,0.034
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,384.23,0.0231,0.00318,385.74,0.245,0.034,372.93,0.023,0.00317,374.43,0.241,0.034
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,392.68,0.0231,0.00317,394.19,0.246,0.033,381.38,0.023,0.00316,382.89,0.242,0.033
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,391.63,0.0225,0.00308,393.1,0.239,0.031,380.91,0.0223,0.00306,382.37,0.236,0.031
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,362.56,0.0211,0.00289,363.93,0.231,0.029,352.33,0.021,0.00288,353.7,0.228,0.029
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,356.36,0.0207,0.00284,357.71,0.238,0.028,346.37,0.0206,0.00283,347.72,0.234,0.028
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,361.28,0.0202,0.00276,362.6,0.205,0.028,351.69,0.0201,0.00275,353.0,0.202,0.028
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,367.12,0.0201,0.00273,368.42,0.205,0.028,357.91,0.02,0.00272,359.21,0.202,0.028
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,370.52,0.0197,0.00268,371.8,0.192,0.029,361.5,0.0196,0.00267,362.78,0.189,0.029
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,378.26,0.019,0.00256,379.48,0.189,0.028,369.73,0.0189,0.00255,370.96,0.187,0.028
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,385.46,0.0191,0.00256,386.69,0.191,0.028,377.01,0.019,0.00255,378.23,0.189,0.028
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,393.32,0.0192,0.00256,394.55,0.197,0.028,385.0,0.0191,0.00256,386.23,0.194,0.028
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,400.62,0.0192,0.00256,401.85,0.197,0.028,392.42,0.0191,0.00255,393.66,0.194,0.028
2021-01-01 20:00:00+00:00,2021-01-01 15:00:00-05:00,408.3,0.0195,0.0026,409.56,0.196,0.028,400.15,0.0194,0.00259,401.39,0.193,0.028
