datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,701.33,0.045,0.00575,704.16,0.274,0.0756,659.29,0.045,0.00574,662.11,0.272,0.0756
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,664.33,0.0439,0.00561,667.09,0.304,0.0668,620.68,0.0438,0.00561,623.44,0.302,0.0668
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,661.79,0.0456,0.00586,664.66,0.317,0.073,615.79,0.0456,0.00585,618.65,0.314,0.0729
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,668.37,0.0476,0.00613,671.37,0.302,0.0944,621.59,0.0475,0.00612,624.59,0.299,0.0943
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,649.28,0.046,0.00589,652.17,0.285,0.0717,601.83,0.046,0.00588,604.71,0.283,0.0716
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,660.22,0.0468,0.006,663.16,0.326,0.0803,611.76,0.0467,0.00599,614.7,0.324,0.0803
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,676.53,0.0464,0.00594,679.44,0.342,0.078,628.74,0.0464,0.00594,631.66,0.339,0.078
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,665.49,0.0453,0.0058,668.34,0.316,0.0791,619.55,0.0452,0.00579,622.39,0.314,0.079
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,643.91,0.0415,0.0053,646.52,0.259,0.0813,603.54,0.0414,0.00529,606.14,0.257,0.0813
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,635.36,0.0391,0.005,637.81,0.238,0.1024,599.88,0.0391,0.00499,602.33,0.236,0.1024
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,636.54,0.0375,0.00479,638.89,0.228,0.0918,604.24,0.0375,0.00478,606.59,0.226,0.0917
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,651.5,0.0381,0.00487,653.89,0.217,0.1161,620.73,0.0381,0.00487,623.12,0.216,0.1161
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,660.51,0.0379,0.00484,662.89,0.22,0.0897,630.89,0.0378,0.00484,633.26,0.218,0.0897
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,656.7,0.0366,0.00466,658.99,0.206,0.0824,627.52,0.0366,0.00466,629.81,0.204,0.0823
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,676.58,0.0372,0.00474,678.91,0.213,0.1027,647.25,0.0372,0.00474,649.58,0.211,0.1027
2021-01-01 20:00:00+00:00,2021-01-01 15:00:00-05:00,702.11,0.0379,0.00482,704.48,0.219,0.0981,672.82,0.0379,0.00481,675.19,0.218,0.0981
2021-01-01 21:00:00+00:00,2021-01-01 16:00:00-05:00,715.92,0.0388,0.00493,718.35,0.21,0.107,686.36,0.0387,0.00492,688.78,0.209,0.107
2021-01-01 22:00:00+00:00,2021-01-01 17:00:00-05:00,729.99,0.0396,0.00503,732.47,0.211,0.1083,700.03,0.0396,0.00503,702.51,0.21,0.1083
2021-01-01 23:00:00+00:00,2021-01-01 18:00:00-05:00,730.76,0.0393,0.005,733.22,0.21,0.09,701.03,0.0393,0.00499,703.49,0.208,0.09
2021-01-02 00:00:00+00:00,2021-01-01 19:00:00-05:00,732.81,0.0407,0.00519,735.37,0.219,0.093,701.57,0.0407,0.00519,704.12,0.217,0.0929
2021-01-02 01:00:00+00:00,2021-01-01 20:00:00-05:00,724.83,0.0413,0.00527,727.42,0.224,0.0844,692.13,0.0413,0.00527,694.72,0.223,0.0843
2021-01-02 02:00:00+00:00,2021-01-01 21:00:00-05:00,721.56,0.0419,0.00535,724.19,0.235,0.0783,686.77,0.0419,0.00534,689.39,0.233,0.0783
2021-01-02 03:00:00+00:00,2021-01-01 22:00:00-05:00,713.58,0.0426,0.00544,716.25,0.244,0.0911,676.57,0.0426,0.00544,679.25,0.242,0.0911
2021-01-02 04:00:00+00:00,2021-01-01 23:00:00-05:00,700.32,0.0437,0.00559,703.07,0.254,0.0827,660.24,0.0437,0.00559,662.99,0.252,0.0827
2021-01-02 05:00:00+00:00,2021-01-02 00:00:00-05:00,675.55,0.0445,0.00571,678.35,0.265,0.0779,632.27,0.0445,0.0057,635.06,0.263,0.0779
2021-01-02 06:00:00+00:00,2021-01-02 01:00:00-05:00,656.84,0.0452,0.00578,659.68,0.271,0.0729,610.86,0.0451,0.00578,613.69,0.269,0.0728
2021-01-02 07:00:00+00:00,2021-01-02 02:00:00-05:00,630.66,0.0452,0.00579,633.5,0.27,0.0699,583.22,0.0451,0.00578,586.05,0.268,0.0698
2021-01-02 08:00:00+00:00,2021-01-02 03:00:00-05:00,626.34,0.0462,0.00593,629.24,0.275,0.0716,577.18,0.0461,0.00592,580.09,0.273,0.0716
2021-01-02 09:00:00+00:00,2021-01-02 04:00:00-05:00,625.17,0.0465,0.00598,628.1,0.278,0.0714,575.36,0.0464,0.00597,578.28,0.275,0.0714
2021-01-02 10:00:00+00:00,2021-01-02 05:00:00-05:00,628.6,0.0459,0.0059,631.49,0.278,0.0715,579.39,0.0458,0.00589,582.28,0.275,0.0714
2021-01-02 11:00:00+00:00,2021-01-02 06:00:00-05:00,663.91,0.046,0.00589,666.8,0.289,0.076,615.91,0.0459,0.00588,618.8,0.287,0.0759
2021-01-02 12:00:00+00:00,2021-01-02 07:00:00-05:00,682.49,0.0448,0.00571,685.3,0.279,0.0745,637.9,0.0447,0.00571,640.71,0.277,0.0745
2021-01-02 13:00:00+00:00,2021-01-02 08:00:00-05:00,669.76,0.0421,0.00537,672.4,0.266,0.0761,630.21,0.042,0.00536,632.85,0.264,0.0761
2021-01-02 14:00:00+00:00,2021-01-02 09:00:00-05:00,691.07,0.0409,0.00521,693.63,0.261,0.0939,655.62,0.0408,0.0052,658.18,0.259,0.0939
2021-01-02 15:00:00+00:00,2021-01-02 10:00:00-05:00,692.34,0.0397,0.00506,694.83,0.226,0.1042,659.76,0.0397,0.00506,662.25,0.224,0.1042
2021-01-02 16:00:00+00:00,2021-01-02 11:00:00-05:00,671.42,0.0377,0.0048,673.78,0.21,0.0805,640.8,0.0377,0.00479,643.16,0.208,0.0805
2021-01-02 17:00:00+00:00,2021-01-02 12:00:00-05:00,668.33,0.0373,0.00474,670.67,0.209,0.096,638.28,0.0373,0.00474,640.62,0.208,0.096
2021-01-02 18:00:00+00:00,2021-01-02 13:00:00-05:00,665.36,0.0371,0.00473,667.68,0.203,0.0893,635.62,0.0371,0.00473,637.94,0.202,0.0893
2021-01-02 19:00:00+00:00,2021-01-02 14:00:00-05:00,672.16,0.037,0.0047,674.47,0.201,0.0777,642.85,0.0369,0.0047,645.16,0.2,0.0777
2021-01-02 20:00:00+00:00,2021-01-02 15:00:00-05:00,676.9,0.037,0.00469,679.21,0.204,0.0755,647.4,0.0369,0.00469,649.71,0.202,0.0755
2021-01-02 21:00:00+00:00,2021-01-02 16:00:00-05:00,699.16,0.0381,0.00484,701.54,0.209,0.0949,669.4,0.038,0.00483,671.78,0.208,0.0948
2021-01-02 22:00:00+00:00,2021-01-02 17:00:00-05:00,711.04,0.0389,0.00493,713.47,0.21,0.0816,680.74,0.0388,0.00493,683.17,0.208,0.0816
2021-01-02 23:00:00+00:00,2021-01-02 18:00:00-05:00,713.12,0.0389,0.00494,715.56,0.211,0.0888,683.03,0.0389,0.00494,685.46,0.209,0.0887
2021-01-03 00:00:00+00:00,2021-01-02 19:00:00-05:00,709.31,0.0401,0.00513,711.83,0.218,0.0955,677.99,0.0401,0.00512,680.51,0.217,0.0955
