datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,4.88,0.00028,3.9e-05,4.9,0.003,0.0018,4.61,0.00028,3.8e-05,4.63,0.003,0.0018
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,3.49,0.00021,2.8e-05,3.5,0.0022,0.0013,3.3,0.00021,2.8e-05,3.31,0.0022,0.0013
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,4.02,0.00024,3.3e-05,4.03,0.0026,0.0014,3.8,0.00024,3.3e-05,3.82,0.0026,0.0014
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,1.3,8e-05,1e-05,1.3,0.0008,0.0005,1.23,8e-05,1e-05,1.23,0.0008,0.0005
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,7.53,0.00102,0.000143,7.6,0.007,0.0054,5.43,0.00102,0.000143,5.5,0.007,0.0054
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,23.9,0.00308,0.000432,24.1,0.0219,0.0168,17.73,0.00307,0.000431,17.93,0.0218,0.0168
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,34.67,0.00467,0.000654,34.98,0.0323,0.0251,24.94,0.00466,0.000654,25.25,0.0322,0.0251
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,32.78,0.00424,0.000595,33.07,0.03,0.0233,24.2,0.00423,0.000594,24.48,0.0298,0.0233
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,24.28,0.0031,0.000435,24.48,0.0222,0.0173,18.02,0.0031,0.000434,18.22,0.0221,0.0173
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,28.77,0.00356,0.0005,29.01,0.0261,0.0199,21.73,0.00356,0.000499,21.97,0.026,0.0199
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,36.01,0.00488,0.000684,36.33,0.0336,0.0258,25.71,0.00488,0.000683,26.03,0.0334,0.0258
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,13.17,0.00183,0.000256,13.29,0.0125,0.0087,9.12,0.00183,0.000256,9.24,0.0125,0.0087
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,3.74,0.00026,3.7e-05,3.76,0.0031,0.0015,3.49,0.00026,3.7e-05,3.5,0.003,0.0015
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,12.89,0.00092,0.000129,12.95,0.0103,0.0051,12.03,0.00091,0.000128,12.09,0.0102,0.0051
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,24.03,0.00192,0.00027,24.16,0.0198,0.0106,21.53,0.00192,0.000269,21.66,0.0196,0.0106
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,34.84,0.00252,0.000353,35.01,0.0277,0.014,31.98,0.00252,0.000352,32.14,0.0274,0.014
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,60.64,0.00594,0.000831,61.03,0.0518,0.0319,50.53,0.00593,0.000829,50.92,0.0514,0.0319
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,65.77,0.00687,0.000965,66.23,0.0595,0.0393,54.18,0.00686,0.000963,54.63,0.059,0.0393
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,82.82,0.00837,0.001172,83.38,0.0743,0.0494,67.83,0.00836,0.001169,68.38,0.0737,0.0494
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,98.25,0.01077,0.00151,98.96,0.0936,0.0648,77.54,0.01075,0.001506,78.25,0.0929,0.0648
