datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,2255.77,0.563,0.0737,2291.6,1.39,0.058,641.72,0.563,0.0737,677.55,1.39,0.058
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,2407.28,0.604,0.079,2445.66,1.55,0.055,671.54,0.604,0.079,709.93,1.55,0.055
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,2462.84,0.626,0.0819,2502.66,1.62,0.051,666.05,0.626,0.0819,705.87,1.62,0.051
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,2515.94,0.626,0.0818,2555.71,1.78,0.038,701.0,0.626,0.0818,740.77,1.78,0.038
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,2429.24,0.588,0.0769,2466.63,1.86,0.035,728.81,0.588,0.0769,766.2,1.86,0.035
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,2486.31,0.611,0.0798,2525.11,1.88,0.036,718.07,0.611,0.0798,756.88,1.88,0.036
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,2413.23,0.589,0.0769,2450.67,1.82,0.035,706.8,0.589,0.0769,744.24,1.82,0.035
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,2358.84,0.572,0.0747,2395.19,1.71,0.032,710.56,0.572,0.0747,746.92,1.71,0.032
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,2167.09,0.518,0.0675,2199.96,1.56,0.031,671.64,0.518,0.0675,704.52,1.56,0.031
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,2209.69,0.535,0.0698,2243.68,1.74,0.036,664.14,0.535,0.0698,698.13,1.74,0.036
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,2257.5,0.533,0.0696,2291.37,1.89,0.04,722.68,0.533,0.0696,756.54,1.89,0.04
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,1935.38,0.487,0.0637,1966.36,1.16,0.101,554.87,0.487,0.0637,585.85,1.16,0.101
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,1811.83,0.439,0.0575,1839.75,1.11,0.114,586.88,0.439,0.0575,614.8,1.1,0.114
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,1909.24,0.439,0.0574,1937.14,1.38,0.072,672.31,0.439,0.0574,700.21,1.38,0.072
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,1891.37,0.425,0.0556,1918.41,1.38,0.085,698.41,0.425,0.0556,725.45,1.38,0.085
2021-01-01 20:00:00+00:00,2021-01-01 15:00:00-05:00,1768.64,0.383,0.05,1792.96,1.24,0.085,703.27,0.383,0.05,727.58,1.24,0.085
2021-01-01 21:00:00+00:00,2021-01-01 16:00:00-05:00,1806.33,0.4,0.0523,1831.78,1.29,0.099,692.45,0.4,0.0523,717.89,1.29,0.099
2021-01-01 22:00:00+00:00,2021-01-01 17:00:00-05:00,1793.3,0.399,0.0523,1818.7,1.17,0.128,693.43,0.399,0.0523,718.82,1.17,0.128
2021-01-01 23:00:00+00:00,2021-01-01 18:00:00-05:00,1710.16,0.373,0.0487,1733.86,0.99,0.114,687.12,0.373,0.0487,710.82,0.99,0.114
2021-01-02 00:00:00+00:00,2021-01-01 19:00:00-05:00,1709.97,0.302,0.0394,1729.15,0.94,0.09,900.69,0.302,0.0394,919.87,0.94,0.09
2021-01-02 01:00:00+00:00,2021-01-01 20:00:00-05:00,1919.19,0.38,0.0495,1943.29,1.08,0.069,869.64,0.38,0.0495,893.74,1.08,0.069
2021-01-02 02:00:00+00:00,2021-01-01 21:00:00-05:00,2066.71,0.434,0.0565,2094.24,1.1,0.048,843.62,0.434,0.0565,871.15,1.1,0.048
2021-01-02 03:00:00+00:00,2021-01-01 22:00:00-05:00,2128.37,0.458,0.0596,2157.4,1.17,0.034,823.99,0.458,0.0596,853.02,1.17,0.034
2021-01-02 04:00:00+00:00,2021-01-01 23:00:00-05:00,2096.81,0.443,0.0576,2124.89,1.14,0.033,838.5,0.443,0.0576,866.58,1.14,0.033
2021-01-02 05:00:00+00:00,2021-01-02 00:00:00-05:00,2193.2,0.469,0.061,2222.93,1.19,0.034,860.33,0.468,0.061,890.05,1.19,0.034
2021-01-02 06:00:00+00:00,2021-01-02 01:00:00-05:00,2181.1,0.456,0.0593,2210.04,1.19,0.033,886.05,0.456,0.0593,914.98,1.19,0.033
2021-01-02 07:00:00+00:00,2021-01-02 02:00:00-05:00,2167.26,0.453,0.059,2195.99,1.22,0.03,878.63,0.453,0.059,907.36,1.22,0.03
2021-01-02 08:00:00+00:00,2021-01-02 03:00:00-05:00,2303.45,0.499,0.065,2335.12,1.27,0.03,877.19,0.499,0.065,908.86,1.27,0.03
2021-01-02 09:00:00+00:00,2021-01-02 04:00:00-05:00,2312.32,0.523,0.0682,2345.51,1.75,0.034,815.95,0.523,0.0682,849.14,1.75,0.034
2021-01-02 10:00:00+00:00,2021-01-02 05:00:00-05:00,2345.16,0.54,0.0705,2379.47,1.86,0.037,796.92,0.54,0.0705,831.23,1.86,0.037
2021-01-02 11:00:00+00:00,2021-01-02 06:00:00-05:00,2150.72,0.464,0.0605,2180.17,1.78,0.034,828.78,0.464,0.0605,858.22,1.78,0.034
2021-01-02 12:00:00+00:00,2021-01-02 07:00:00-05:00,2183.27,0.485,0.0632,2214.05,1.57,0.031,794.57,0.485,0.0632,825.34,1.57,0.031
2021-01-02 13:00:00+00:00,2021-01-02 08:00:00-05:00,1709.76,0.328,0.0426,1730.56,0.91,0.027,788.31,0.328,0.0426,809.1,0.91,0.027
2021-01-02 14:00:00+00:00,2021-01-02 09:00:00-05:00,1618.46,0.305,0.0396,1637.77,0.87,0.028,766.12,0.305,0.0396,785.42,0.87,0.028
2021-01-02 15:00:00+00:00,2021-01-02 10:00:00-05:00,1662.79,0.325,0.0422,1683.37,0.91,0.032,751.97,0.325,0.0422,772.55,0.91,0.032
