datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,452.4,0.1033,0.01356,458.98,0.17,0.659,157.94,0.1033,0.01356,164.52,0.17,0.659
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,446.4,0.1023,0.01344,452.92,0.167,0.654,154.17,0.1023,0.01344,160.7,0.167,0.654
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,444.46,0.1025,0.01346,451.0,0.166,0.656,150.98,0.1025,0.01346,157.52,0.166,0.656
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,446.96,0.1023,0.01343,453.48,0.168,0.653,155.17,0.1023,0.01343,161.69,0.168,0.653
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,453.67,0.1028,0.0135,460.22,0.171,0.655,161.61,0.1028,0.0135,168.16,0.171,0.655
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,459.64,0.1025,0.01347,466.18,0.174,0.65,170.86,0.1025,0.01347,177.4,0.174,0.65
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,451.54,0.101,0.01328,457.99,0.171,0.642,165.88,0.101,0.01328,172.33,0.171,0.642
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,395.17,0.0925,0.01215,401.07,0.147,0.595,129.03,0.0925,0.01215,134.92,0.147,0.595
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,297.75,0.0733,0.00962,302.42,0.109,0.477,83.16,0.0733,0.00962,87.83,0.109,0.477
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,295.52,0.0728,0.00955,300.15,0.108,0.474,82.53,0.0728,0.00955,87.17,0.108,0.474
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,293.78,0.0723,0.00949,298.39,0.107,0.471,82.05,0.0723,0.00949,86.66,0.107,0.471
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,292.17,0.0719,0.00944,296.75,0.106,0.468,81.6,0.0719,0.00944,86.18,0.106,0.468
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,296.07,0.0729,0.00956,300.72,0.108,0.475,82.69,0.0729,0.00956,87.33,0.108,0.475
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,292.33,0.072,0.00944,296.91,0.107,0.469,81.64,0.072,0.00944,86.23,0.107,0.469
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,304.53,0.075,0.00984,309.31,0.111,0.488,85.05,0.075,0.00984,89.83,0.111,0.488
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,341.19,0.0829,0.01088,346.48,0.125,0.538,99.54,0.0829,0.01088,104.82,0.125,0.538
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,432.24,0.0977,0.01283,438.47,0.164,0.622,155.06,0.0977,0.01283,161.29,0.164,0.622
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,450.46,0.0983,0.01293,456.74,0.172,0.621,174.98,0.0983,0.01293,181.25,0.172,0.621
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,452.13,0.0983,0.01292,458.4,0.173,0.62,177.31,0.0983,0.01292,183.58,0.173,0.62
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,460.93,0.0997,0.01312,467.29,0.177,0.628,183.24,0.0997,0.01312,189.6,0.177,0.628
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,456.99,0.1009,0.01327,463.43,0.174,0.639,173.4,0.1009,0.01327,179.84,0.174,0.639
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,451.3,0.1008,0.01324,457.72,0.171,0.641,166.37,0.1008,0.01324,172.8,0.171,0.641
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,463.1,0.1022,0.01343,469.62,0.176,0.648,175.44,0.1022,0.01343,181.96,0.176,0.648
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,467.23,0.1021,0.01343,473.75,0.178,0.646,181.23,0.1021,0.01343,187.74,0.178,0.646
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,464.59,0.1022,0.01343,471.11,0.177,0.648,177.54,0.1022,0.01343,184.06,0.177,0.648
2021-01-02 09:00:00+00:00,2021-01-02 01:00:00-08:00,463.14,0.1025,0.01348,469.68,0.176,0.651,174.39,0.1025,0.01348,180.93,0.176,0.651
2021-01-02 10:00:00+00:00,2021-01-02 02:00:00-08:00,459.44,0.1029,0.01352,466.0,0.173,0.655,168.16,0.1029,0.01352,174.73,0.173,0.655
2021-01-02 11:00:00+00:00,2021-01-02 03:00:00-08:00,463.24,0.1026,0.01349,469.79,0.175,0.651,174.21,0.1026,0.01349,180.76,0.175,0.651
2021-01-02 12:00:00+00:00,2021-01-02 04:00:00-08:00,461.71,0.1031,0.01356,468.29,0.175,0.656,171.05,0.1031,0.01356,177.63,0.175,0.656
2021-01-02 13:00:00+00:00,2021-01-02 05:00:00-08:00,455.53,0.1034,0.01359,462.13,0.172,0.66,162.33,0.1034,0.01359,168.93,0.172,0.66
2021-01-02 14:00:00+00:00,2021-01-02 06:00:00-08:00,463.55,0.1012,0.0133,470.0,0.179,0.64,180.97,0.1012,0.0133,187.42,0.179,0.64
2021-01-02 15:00:00+00:00,2021-01-02 07:00:00-08:00,408.81,0.0926,0.01217,414.71,0.155,0.592,145.95,0.0926,0.01217,151.86,0.155,0.592
2021-01-02 16:00:00+00:00,2021-01-02 08:00:00-08:00,346.13,0.0822,0.01077,351.37,0.116,0.533,106.32,0.0822,0.01077,111.56,0.116,0.533
2021-01-02 17:00:00+00:00,2021-01-02 09:00:00-08:00,314.69,0.0697,0.00913,319.13,0.106,0.45,112.41,0.0697,0.00913,116.85,0.106,0.45
2021-01-02 18:00:00+00:00,2021-01-02 10:00:00-08:00,276.65,0.0681,0.00894,280.99,0.101,0.443,77.26,0.0681,0.00894,81.6,0.101,0.443
2021-01-02 19:00:00+00:00,2021-01-02 11:00:00-08:00,275.77,0.0679,0.00891,280.09,0.101,0.442,77.02,0.0679,0.00891,81.34,0.101,0.442
2021-01-02 20:00:00+00:00,2021-01-02 12:00:00-08:00,278.19,0.0685,0.00899,282.55,0.101,0.446,77.69,0.0685,0.00899,82.06,0.101,0.446
2021-01-02 21:00:00+00:00,2021-01-02 13:00:00-08:00,280.24,0.069,0.00905,284.64,0.102,0.449,78.27,0.069,0.00905,82.66,0.102,0.449
2021-01-02 22:00:00+00:00,2021-01-02 14:00:00-08:00,309.91,0.0724,0.00947,314.52,0.099,0.469,98.93,0.0724,0.00947,103.54,0.099,0.469
2021-01-02 23:00:00+00:00,2021-01-02 15:00:00-08:00,407.6,0.083,0.01085,412.88,0.132,0.532,168.79,0.083,0.01085,174.07,0.132,0.532
2021-01-03 00:00:00+00:00,2021-01-02 16:00:00-08:00,512.01,0.0954,0.01251,518.09,0.183,0.591,252.25,0.0954,0.01251,258.33,0.183,0.591
2021-01-03 01:00:00+00:00,2021-01-02 17:00:00-08:00,514.58,0.0954,0.01252,520.67,0.183,0.591,255.62,0.0954,0.01252,261.7,0.183,0.591
2021-01-03 02:00:00+00:00,2021-01-02 18:00:00-08:00,515.18,0.0952,0.01249,521.25,0.182,0.589,257.11,0.0952,0.01249,263.18,0.182,0.589
2021-01-03 03:00:00+00:00,2021-01-02 19:00:00-08:00,511.19,0.0949,0.01245,517.24,0.18,0.588,253.37,0.0949,0.01245,259.42,0.18,0.588
2021-01-03 04:00:00+00:00,2021-01-02 20:00:00-08:00,480.16,0.0958,0.01257,486.27,0.172,0.597,218.06,0.0958,0.01257,224.16,0.172,0.597
2021-01-03 05:00:00+00:00,2021-01-02 21:00:00-08:00,469.75,0.0994,0.01308,476.1,0.184,0.622,195.83,0.0994,0.01308,202.17,0.184,0.622
2021-01-03 06:00:00+00:00,2021-01-02 22:00:00-08:00,463.59,0.1018,0.01338,470.08,0.179,0.643,178.63,0.1018,0.01338,185.13,0.179,0.643
2021-01-03 07:00:00+00:00,2021-01-02 23:00:00-08:00,464.59,0.1016,0.01337,471.07,0.179,0.642,180.32,0.1016,0.01337,186.8,0.179,0.642
2021-01-03 08:00:00+00:00,2021-01-03 00:00:00-08:00,460.98,0.103,0.01354,467.55,0.175,0.654,170.72,0.103,0.01354,177.3,0.175,0.654
2021-01-03 09:00:00+00:00,2021-01-03 01:00:00-08:00,457.98,0.1032,0.01356,464.56,0.173,0.657,166.08,0.1032,0.01356,172.67,0.173,0.657
2021-01-03 10:00:00+00:00,2021-01-03 02:00:00-08:00,458.79,0.1031,0.01355,465.37,0.174,0.656,167.44,0.1031,0.01355,174.02,0.174,0.656
2021-01-03 11:00:00+00:00,2021-01-03 03:00:00-08:00,454.68,0.1032,0.01357,461.26,0.172,0.659,161.29,0.1032,0.01357,167.87,0.172,0.659
2021-01-03 12:00:00+00:00,2021-01-03 04:00:00-08:00,453.93,0.1035,0.01359,460.53,0.171,0.661,159.48,0.1035,0.01359,166.07,0.171,0.661
2021-01-03 13:00:00+00:00,2021-01-03 05:00:00-08:00,449.25,0.1038,0.01364,455.87,0.169,0.666,152.23,0.1038,0.01364,158.85,0.169,0.666
2021-01-03 14:00:00+00:00,2021-01-03 06:00:00-08:00,447.15,0.1037,0.01363,453.77,0.167,0.666,149.77,0.1037,0.01363,156.38,0.167,0.666
2021-01-03 15:00:00+00:00,2021-01-03 07:00:00-08:00,391.13,0.093,0.01221,397.06,0.145,0.601,121.99,0.093,0.01221,127.92,0.145,0.601
2021-01-03 16:00:00+00:00,2021-01-03 08:00:00-08:00,313.49,0.0772,0.01013,318.4,0.114,0.502,87.55,0.0772,0.01013,92.47,0.114,0.502
2021-01-03 17:00:00+00:00,2021-01-03 09:00:00-08:00,301.53,0.0742,0.00974,306.26,0.11,0.483,84.21,0.0742,0.00974,88.94,0.11,0.483
2021-01-03 18:00:00+00:00,2021-01-03 10:00:00-08:00,301.62,0.0743,0.00974,306.36,0.11,0.483,84.24,0.0743,0.00974,88.97,0.11,0.483
2021-01-03 19:00:00+00:00,2021-01-03 11:00:00-08:00,279.17,0.0687,0.00902,283.55,0.102,0.447,77.97,0.0687,0.00902,82.35,0.102,0.447
2021-01-03 20:00:00+00:00,2021-01-03 12:00:00-08:00,280.66,0.0691,0.00907,285.06,0.102,0.45,78.38,0.0691,0.00907,82.79,0.102,0.45
2021-01-03 21:00:00+00:00,2021-01-03 13:00:00-08:00,279.42,0.0688,0.00903,283.8,0.102,0.448,78.04,0.0688,0.00903,82.42,0.102,0.448
2021-01-03 22:00:00+00:00,2021-01-03 14:00:00-08:00,291.43,0.0718,0.00941,296.01,0.106,0.467,81.39,0.0718,0.00941,85.96,0.106,0.467
2021-01-03 23:00:00+00:00,2021-01-03 15:00:00-08:00,348.15,0.0827,0.01085,353.42,0.13,0.533,109.28,0.0827,0.01085,114.55,0.13,0.533
2021-01-04 00:00:00+00:00,2021-01-03 16:00:00-08:00,452.74,0.0961,0.01265,458.88,0.177,0.602,187.11,0.0961,0.01265,193.25,0.177,0.602
2021-01-04 01:00:00+00:00,2021-01-03 17:00:00-08:00,495.57,0.0943,0.01236,501.58,0.169,0.588,234.8,0.0943,0.01236,240.81,0.169,0.588
