datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,628.16,0.0816,0.01064,633.34,0.463,0.0789,468.73,0.0815,0.01062,473.91,0.458,0.0788
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,629.39,0.0812,0.01057,634.54,0.431,0.078,471.04,0.081,0.01055,476.18,0.427,0.0779
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,626.76,0.0818,0.01066,631.95,0.451,0.0781,466.64,0.0817,0.01065,471.83,0.447,0.0781
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,615.31,0.0773,0.0101,620.22,0.461,0.0902,468.58,0.0772,0.01008,473.49,0.457,0.0901
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,622.63,0.0769,0.01002,627.51,0.475,0.0889,477.09,0.0767,0.01001,481.97,0.471,0.0888
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,625.2,0.0769,0.01002,630.08,0.469,0.0853,478.99,0.0768,0.01001,483.86,0.465,0.0853
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,628.41,0.0753,0.00979,633.18,0.439,0.0785,484.66,0.0752,0.00978,489.43,0.435,0.0784
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,619.47,0.0747,0.00972,624.21,0.425,0.0819,476.78,0.0746,0.0097,481.51,0.421,0.0818
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,612.3,0.0745,0.00969,617.02,0.43,0.084,469.62,0.0744,0.00968,474.34,0.426,0.084
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,600.78,0.073,0.0095,605.41,0.424,0.0826,460.88,0.0729,0.00949,465.51,0.42,0.0825
