datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,826.95,0.0381,0.00505,829.39,0.355,0.107,821.98,0.0381,0.00504,824.42,0.353,0.107
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,807.15,0.0344,0.0045,809.34,0.317,0.082,802.21,0.0344,0.00449,804.39,0.316,0.082
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,809.45,0.0337,0.00438,811.58,0.31,0.075,804.51,0.0336,0.00437,806.64,0.308,0.075
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,817.61,0.0345,0.0045,819.81,0.32,0.092,812.6,0.0345,0.0045,814.79,0.318,0.092
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,819.02,0.0351,0.00459,821.25,0.322,0.089,813.98,0.035,0.00458,816.21,0.321,0.089
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,833.29,0.038,0.00503,835.72,0.336,0.102,828.3,0.038,0.00502,830.73,0.334,0.102
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,845.71,0.0413,0.00551,848.36,0.352,0.126,840.64,0.0412,0.00551,843.29,0.35,0.126
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,782.73,0.0366,0.00486,785.07,0.314,0.097,777.77,0.0366,0.00486,780.12,0.312,0.097
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,663.7,0.0288,0.00377,665.53,0.281,0.049,659.04,0.0288,0.00377,660.88,0.279,0.049
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,619.57,0.0261,0.00339,621.22,0.337,0.035,614.38,0.0261,0.00339,616.04,0.336,0.035
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,620.23,0.0252,0.00326,621.82,0.346,0.038,614.57,0.0252,0.00325,616.16,0.345,0.038
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,629.34,0.0258,0.00334,630.97,0.34,0.036,623.47,0.0258,0.00333,625.1,0.338,0.036
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,619.58,0.0253,0.00327,621.18,0.335,0.03,613.82,0.0253,0.00326,615.42,0.333,0.03
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,620.81,0.0251,0.00323,622.39,0.332,0.041,615.26,0.0251,0.00323,616.84,0.33,0.041
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,672.83,0.0259,0.0033,674.46,0.341,0.045,667.77,0.0258,0.0033,669.39,0.339,0.045
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,713.5,0.0278,0.00356,715.25,0.264,0.053,709.03,0.0277,0.00356,710.78,0.262,0.053
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,782.94,0.0332,0.00434,785.05,0.277,0.086,778.54,0.0332,0.00433,780.65,0.275,0.086
