datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 07:00:00+00:00,2021-01-01 00:00:00-07:00,1422.3,0.154,0.0223,1432.67,1.44,0.816,1415.04,0.154,0.0223,1425.41,1.44,0.816
2021-01-01 08:00:00+00:00,2021-01-01 01:00:00-07:00,1777.6,0.195,0.0282,1790.75,1.6,0.982,1766.4,0.195,0.0282,1779.55,1.6,0.982
2021-01-01 09:00:00+00:00,2021-01-01 02:00:00-07:00,1737.67,0.19,0.0275,1750.48,1.49,0.943,1725.66,0.19,0.0275,1738.46,1.49,0.943
2021-01-01 10:00:00+00:00,2021-01-01 03:00:00-07:00,1714.1,0.187,0.0271,1726.7,1.42,0.946,1702.11,0.187,0.0271,1714.71,1.41,0.946
2021-01-01 11:00:00+00:00,2021-01-01 04:00:00-07:00,1707.6,0.186,0.027,1720.17,1.46,0.934,1695.87,0.186,0.027,1708.43,1.46,0.934
2021-01-01 12:00:00+00:00,2021-01-01 05:00:00-07:00,1721.16,0.188,0.0272,1733.83,1.47,0.901,1709.71,0.188,0.0272,1722.37,1.47,0.901
2021-01-01 13:00:00+00:00,2021-01-01 06:00:00-07:00,1736.15,0.19,0.0275,1748.96,1.54,0.892,1725.39,0.19,0.0275,1738.2,1.54,0.892
2021-01-01 14:00:00+00:00,2021-01-01 07:00:00-07:00,1697.69,0.186,0.0269,1710.21,1.57,0.957,1686.63,0.186,0.0269,1699.15,1.57,0.957
2021-01-01 15:00:00+00:00,2021-01-01 08:00:00-07:00,1663.76,0.182,0.0264,1676.05,1.54,0.955,1652.05,0.182,0.0264,1664.34,1.54,0.955
2021-01-01 16:00:00+00:00,2021-01-01 09:00:00-07:00,1556.53,0.168,0.0242,1567.83,1.36,0.82,1545.0,0.168,0.0242,1556.3,1.36,0.82
