datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,321.74,0.0352,0.0047,324.01,0.287,0.104,246.45,0.0352,0.00469,248.71,0.284,0.104
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,330.51,0.0373,0.005,332.91,0.3,0.116,251.58,0.0372,0.00499,253.98,0.297,0.116
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,346.82,0.0381,0.0051,349.28,0.309,0.118,266.59,0.038,0.00509,269.04,0.306,0.118
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,330.35,0.037,0.00495,332.73,0.3,0.112,251.76,0.0369,0.00493,254.14,0.297,0.112
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,331.87,0.0365,0.00487,334.22,0.296,0.106,254.61,0.0364,0.00486,256.96,0.293,0.106
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,331.2,0.0354,0.00472,333.48,0.288,0.097,257.24,0.0353,0.00471,259.51,0.284,0.097
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,347.2,0.0363,0.00485,349.54,0.307,0.099,275.46,0.0362,0.00484,277.8,0.304,0.098
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,354.0,0.0358,0.00478,356.31,0.298,0.1,285.25,0.0357,0.00477,287.55,0.295,0.1
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,370.66,0.0379,0.0051,373.11,0.317,0.122,302.32,0.0378,0.00509,304.76,0.314,0.122
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,328.64,0.0344,0.00464,330.87,0.277,0.119,261.47,0.0343,0.00462,263.69,0.274,0.119
