datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,455.89,0.0215,0.00279,457.25,0.192,0.0944,440.81,0.0215,0.00278,442.17,0.191,0.0944
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,466.57,0.0223,0.00289,467.98,0.253,0.0977,450.84,0.0223,0.00289,452.25,0.252,0.0977
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,475.63,0.0228,0.00295,477.07,0.25,0.103,459.71,0.0227,0.00294,461.15,0.249,0.103
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,462.92,0.0225,0.00292,464.34,0.329,0.1008,446.96,0.0224,0.00292,448.38,0.329,0.1008
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,465.02,0.0221,0.00285,466.42,0.266,0.0944,449.61,0.0221,0.00285,451.0,0.266,0.0944
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,446.6,0.021,0.00271,447.92,0.215,0.0855,432.25,0.021,0.00271,433.57,0.214,0.0855
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,435.42,0.0213,0.00276,436.77,0.457,0.0854,420.67,0.0212,0.00276,422.02,0.456,0.0854
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,423.91,0.0202,0.00261,425.19,0.229,0.0812,410.11,0.0201,0.00261,411.39,0.229,0.0812
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,427.06,0.0215,0.00282,428.43,0.416,0.1024,412.79,0.0215,0.00282,414.16,0.416,0.1024
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,403.23,0.0216,0.00288,404.62,0.525,0.1119,388.65,0.0216,0.00288,390.03,0.524,0.1118
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,399.67,0.0213,0.00283,401.03,0.819,0.1182,384.6,0.0213,0.00283,385.96,0.817,0.1182
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,404.17,0.0218,0.0029,405.57,0.801,0.1183,389.15,0.0218,0.0029,390.55,0.8,0.1182
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,401.97,0.0216,0.00289,403.36,0.774,0.1225,386.91,0.0216,0.00288,388.3,0.773,0.1225
