datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 07:00:00+00:00,2021-01-01 00:00:00-07:00,998.83,0.095,0.0136,1005.19,0.521,0.327,989.54,0.095,0.0136,995.9,0.52,0.327
2021-01-01 08:00:00+00:00,2021-01-01 01:00:00-07:00,764.71,0.0724,0.0104,769.56,0.349,0.237,756.94,0.0724,0.0104,761.78,0.349,0.237
2021-01-01 09:00:00+00:00,2021-01-01 02:00:00-07:00,752.24,0.0708,0.0101,756.98,0.339,0.249,744.42,0.0708,0.0101,749.16,0.338,0.249
2021-01-01 10:00:00+00:00,2021-01-01 03:00:00-07:00,737.94,0.0693,0.0099,742.58,0.338,0.236,730.16,0.0693,0.0099,734.8,0.337,0.236
2021-01-01 11:00:00+00:00,2021-01-01 04:00:00-07:00,734.7,0.0694,0.0099,739.35,0.341,0.26,727.26,0.0694,0.0099,731.9,0.34,0.26
2021-01-01 12:00:00+00:00,2021-01-01 05:00:00-07:00,722.6,0.0683,0.0098,727.18,0.33,0.249,715.16,0.0683,0.0098,719.74,0.329,0.249
2021-01-01 13:00:00+00:00,2021-01-01 06:00:00-07:00,693.94,0.0658,0.0094,698.34,0.308,0.228,686.7,0.0658,0.0094,691.11,0.307,0.228
2021-01-01 14:00:00+00:00,2021-01-01 07:00:00-07:00,712.65,0.0681,0.0098,717.22,0.319,0.244,705.56,0.0681,0.0098,710.12,0.318,0.244
2021-01-01 15:00:00+00:00,2021-01-01 08:00:00-07:00,735.54,0.0695,0.0099,740.2,0.323,0.253,728.46,0.0695,0.0099,733.11,0.322,0.253
2021-01-01 16:00:00+00:00,2021-01-01 09:00:00-07:00,764.81,0.0708,0.0101,769.55,0.342,0.234,757.72,0.0708,0.0101,762.46,0.342,0.234
2021-01-01 17:00:00+00:00,2021-01-01 10:00:00-07:00,798.13,0.0735,0.0105,803.05,0.368,0.237,790.86,0.0735,0.0105,795.77,0.368,0.237
2021-01-01 18:00:00+00:00,2021-01-01 11:00:00-07:00,849.41,0.0767,0.0109,854.53,0.397,0.259,841.76,0.0766,0.0109,846.89,0.397,0.259
2021-01-01 19:00:00+00:00,2021-01-01 12:00:00-07:00,923.06,0.083,0.0118,928.61,0.428,0.268,915.03,0.083,0.0118,920.57,0.427,0.268
