datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,327.69,0.0186,0.00254,328.9,0.203,0.1181,309.85,0.0185,0.00253,311.06,0.201,0.1181
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,330.89,0.019,0.0026,332.14,0.204,0.1202,312.75,0.019,0.00259,313.99,0.202,0.1202
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,341.26,0.0197,0.00269,342.54,0.212,0.129,322.66,0.0196,0.00268,323.94,0.209,0.129
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,339.97,0.0196,0.00269,341.25,0.211,0.1272,321.36,0.0196,0.00268,322.64,0.209,0.1272
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,339.05,0.0198,0.00271,340.34,0.211,0.1255,320.49,0.0197,0.0027,321.77,0.209,0.1255
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,330.33,0.0195,0.00268,331.61,0.206,0.1208,312.41,0.0195,0.00267,313.68,0.204,0.1208
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,322.97,0.0192,0.00264,324.22,0.21,0.1138,305.64,0.0191,0.00263,306.89,0.208,0.1137
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,315.66,0.0185,0.00254,316.87,0.194,0.1108,298.56,0.0184,0.00253,299.77,0.192,0.1107
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,300.89,0.0196,0.00273,302.18,0.206,0.1317,282.36,0.0195,0.00272,283.65,0.203,0.1317
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,273.52,0.0194,0.00274,274.81,0.211,0.1365,254.3,0.0193,0.00273,255.59,0.209,0.1365
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,248.1,0.0184,0.0026,249.32,0.205,0.1415,228.72,0.0183,0.00259,229.94,0.203,0.1415
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,249.19,0.0187,0.00265,250.43,0.204,0.1391,230.08,0.0186,0.00264,231.32,0.202,0.139
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,249.61,0.0185,0.00262,250.84,0.204,0.1425,230.44,0.0184,0.00261,231.67,0.201,0.1424
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,257.36,0.0191,0.0027,258.63,0.208,0.1453,237.82,0.019,0.00269,239.09,0.206,0.1453
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,261.76,0.019,0.00269,263.02,0.206,0.1467,242.44,0.0189,0.00268,243.69,0.204,0.1466
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,238.13,0.0173,0.00243,239.27,0.191,0.11,220.52,0.0172,0.00243,221.67,0.188,0.1099
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,232.63,0.0165,0.00231,233.72,0.19,0.0917,216.75,0.0164,0.0023,217.84,0.188,0.0917
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,227.7,0.0162,0.00227,228.77,0.182,0.0894,212.48,0.0161,0.00226,213.55,0.181,0.0893
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,223.59,0.0157,0.00221,224.63,0.179,0.0922,208.07,0.0157,0.0022,209.11,0.177,0.0922
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,222.46,0.0153,0.00214,223.47,0.175,0.0868,207.02,0.0153,0.00213,208.03,0.173,0.0868
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,223.85,0.0154,0.00214,224.87,0.175,0.0922,207.93,0.0153,0.00213,208.94,0.173,0.0922
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,215.34,0.0163,0.0023,216.42,0.188,0.1044,198.24,0.0163,0.00229,199.32,0.185,0.1044
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,212.58,0.0149,0.00208,213.56,0.181,0.1008,194.94,0.0148,0.00207,195.92,0.178,0.1008
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,195.8,0.0141,0.00198,196.73,0.18,0.1009,177.13,0.0141,0.00197,178.06,0.178,0.1008
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,202.42,0.0146,0.00204,203.38,0.191,0.1055,182.86,0.0145,0.00203,183.82,0.189,0.1055
2021-01-02 09:00:00+00:00,2021-01-02 01:00:00-08:00,195.92,0.014,0.00196,196.85,0.192,0.102,175.46,0.014,0.00195,176.39,0.19,0.102
2021-01-02 10:00:00+00:00,2021-01-02 02:00:00-08:00,204.45,0.0141,0.00196,205.37,0.191,0.0961,184.03,0.014,0.00195,184.95,0.188,0.096
2021-01-02 11:00:00+00:00,2021-01-02 03:00:00-08:00,211.19,0.0148,0.00207,212.16,0.195,0.1038,190.72,0.0148,0.00206,191.7,0.193,0.1038
2021-01-02 12:00:00+00:00,2021-01-02 04:00:00-08:00,209.04,0.0146,0.00204,210.01,0.197,0.108,188.53,0.0146,0.00203,189.49,0.194,0.108
2021-01-02 13:00:00+00:00,2021-01-02 05:00:00-08:00,203.77,0.0144,0.00201,204.73,0.202,0.1035,183.49,0.0143,0.002,184.43,0.2,0.1035
2021-01-02 14:00:00+00:00,2021-01-02 06:00:00-08:00,192.85,0.0135,0.00189,193.74,0.184,0.0903,173.61,0.0134,0.00188,174.5,0.182,0.0902
2021-01-02 15:00:00+00:00,2021-01-02 07:00:00-08:00,195.93,0.0132,0.00183,196.79,0.175,0.09,177.72,0.0131,0.00182,178.59,0.173,0.09
2021-01-02 16:00:00+00:00,2021-01-02 08:00:00-08:00,202.5,0.0143,0.002,203.44,0.181,0.0992,183.94,0.0142,0.00199,184.88,0.179,0.0991
2021-01-02 17:00:00+00:00,2021-01-02 09:00:00-08:00,189.54,0.0138,0.00195,190.45,0.172,0.1039,171.58,0.0137,0.00194,172.5,0.17,0.1039
2021-01-02 18:00:00+00:00,2021-01-02 10:00:00-08:00,190.77,0.0135,0.0019,191.67,0.172,0.1026,173.47,0.0134,0.00189,174.36,0.169,0.1025
