datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,1455.46,0.153,0.0222,1465.79,0.645,0.313,1369.44,0.153,0.0222,1379.77,0.643,0.313
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,1462.67,0.157,0.0228,1473.25,0.932,0.356,1369.44,0.156,0.0228,1380.02,0.929,0.356
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,1446.58,0.154,0.0224,1457.0,0.956,0.335,1351.2,0.154,0.0224,1361.61,0.953,0.335
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,1502.89,0.16,0.0233,1513.74,1.012,0.329,1401.49,0.16,0.0233,1412.33,1.009,0.329
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,1492.91,0.159,0.0231,1503.64,1.041,0.299,1388.87,0.159,0.0231,1399.59,1.038,0.298
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,1440.17,0.152,0.0221,1450.45,1.061,0.266,1334.09,0.152,0.0221,1344.37,1.058,0.266
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,1347.58,0.141,0.0205,1357.09,1.072,0.233,1242.07,0.141,0.0205,1251.58,1.069,0.233
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,1334.79,0.14,0.0203,1344.23,1.012,0.245,1232.69,0.14,0.0203,1242.13,1.009,0.245
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,1325.76,0.14,0.0204,1335.22,0.626,0.267,1223.78,0.14,0.0203,1233.24,0.623,0.267
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,1354.55,0.144,0.0209,1364.26,0.585,0.311,1255.73,0.143,0.0209,1265.44,0.582,0.311
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,1402.5,0.151,0.0219,1412.69,0.563,0.368,1310.99,0.151,0.0219,1321.18,0.561,0.368
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,1404.09,0.152,0.022,1414.34,0.581,0.383,1315.12,0.152,0.022,1325.37,0.579,0.383
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,1410.3,0.152,0.0221,1420.6,0.578,0.389,1320.95,0.152,0.0221,1331.24,0.576,0.389
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,1402.51,0.151,0.0219,1412.7,0.593,0.375,1311.66,0.151,0.0219,1321.85,0.59,0.375
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,1364.29,0.145,0.0211,1374.1,0.568,0.343,1270.03,0.145,0.0211,1279.84,0.566,0.343
