datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,112.51,0.0096,0.00139,113.15,0.12,0.0845,105.89,0.00958,0.00139,106.54,0.119,0.0845
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,119.69,0.01063,0.00154,120.41,0.126,0.0936,112.46,0.01061,0.00154,113.18,0.126,0.0936
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,150.03,0.01338,0.00194,150.94,0.151,0.122,141.3,0.01335,0.00194,142.21,0.15,0.122
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,150.89,0.01349,0.00196,151.8,0.153,0.1218,142.01,0.01346,0.00196,142.92,0.152,0.1218
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,151.58,0.01365,0.00198,152.5,0.153,0.1199,142.65,0.01362,0.00198,143.58,0.152,0.1199
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,145.03,0.0131,0.0019,145.92,0.146,0.1106,136.69,0.01307,0.0019,137.58,0.145,0.1106
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,117.97,0.01046,0.00152,118.67,0.128,0.0834,111.27,0.01044,0.00151,111.97,0.127,0.0834
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,98.82,0.00858,0.00124,99.4,0.104,0.0693,93.0,0.00856,0.00124,93.58,0.104,0.0693
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,125.32,0.01099,0.00159,126.06,0.121,0.0944,118.16,0.01097,0.00159,118.9,0.12,0.0944
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,137.4,0.01197,0.00174,138.21,0.127,0.1035,129.47,0.01195,0.00173,130.28,0.126,0.1035
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,125.86,0.01078,0.00156,126.59,0.121,0.1009,118.17,0.01075,0.00156,118.9,0.12,0.1009
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,130.89,0.01128,0.00164,131.65,0.124,0.1011,123.16,0.01126,0.00163,123.92,0.123,0.1011
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,129.96,0.01111,0.00161,130.72,0.123,0.1036,122.2,0.01109,0.00161,122.95,0.122,0.1036
2021-01-01 21:00:00+00:00,2021-01-01 13:00:00-08:00,124.26,0.01062,0.00154,124.98,0.119,0.0973,116.79,0.0106,0.00154,117.51,0.118,0.0973
2021-01-01 22:00:00+00:00,2021-01-01 14:00:00-08:00,120.4,0.0103,0.00149,121.1,0.115,0.0962,113.12,0.01027,0.00149,113.81,0.115,0.0961
2021-01-01 23:00:00+00:00,2021-01-01 15:00:00-08:00,101.8,0.00878,0.00127,102.39,0.102,0.0685,95.73,0.00876,0.00127,96.32,0.101,0.0685
2021-01-02 00:00:00+00:00,2021-01-01 16:00:00-08:00,87.59,0.00757,0.00109,88.1,0.096,0.0521,82.7,0.00756,0.00109,83.21,0.096,0.0521
2021-01-02 01:00:00+00:00,2021-01-01 17:00:00-08:00,86.5,0.00754,0.00109,87.01,0.093,0.0512,81.81,0.00752,0.00109,82.32,0.093,0.0512
2021-01-02 02:00:00+00:00,2021-01-01 18:00:00-08:00,86.1,0.00749,0.00108,86.61,0.093,0.0548,81.16,0.00748,0.00108,81.67,0.092,0.0548
2021-01-02 03:00:00+00:00,2021-01-01 19:00:00-08:00,79.49,0.00675,0.00097,79.94,0.087,0.0482,74.92,0.00673,0.00097,75.38,0.087,0.0482
2021-01-02 04:00:00+00:00,2021-01-01 20:00:00-08:00,94.61,0.00809,0.00117,95.15,0.099,0.062,89.06,0.00808,0.00117,89.6,0.098,0.062
2021-01-02 05:00:00+00:00,2021-01-01 21:00:00-08:00,97.44,0.00872,0.00126,98.03,0.105,0.0693,91.54,0.0087,0.00126,92.12,0.104,0.0693
2021-01-02 06:00:00+00:00,2021-01-01 22:00:00-08:00,107.76,0.00937,0.00136,108.39,0.116,0.0834,100.37,0.00935,0.00136,101.0,0.116,0.0834
2021-01-02 07:00:00+00:00,2021-01-01 23:00:00-08:00,102.52,0.00908,0.00132,103.13,0.118,0.0874,94.37,0.00905,0.00132,94.98,0.117,0.0874
2021-01-02 08:00:00+00:00,2021-01-02 00:00:00-08:00,121.28,0.01103,0.00161,122.03,0.141,0.1096,111.38,0.011,0.00161,112.12,0.14,0.1096
2021-01-02 09:00:00+00:00,2021-01-02 01:00:00-08:00,114.46,0.01017,0.00149,115.15,0.137,0.1039,104.25,0.01014,0.00148,104.93,0.136,0.1038
2021-01-02 10:00:00+00:00,2021-01-02 02:00:00-08:00,109.67,0.00975,0.00142,110.33,0.133,0.0955,99.7,0.00972,0.00142,100.36,0.132,0.0955
2021-01-02 11:00:00+00:00,2021-01-02 03:00:00-08:00,116.26,0.01044,0.00152,116.97,0.137,0.1028,106.29,0.01041,0.00152,107.0,0.136,0.1028
2021-01-02 12:00:00+00:00,2021-01-02 04:00:00-08:00,112.06,0.00999,0.00146,112.74,0.135,0.1041,102.33,0.00996,0.00146,103.0,0.134,0.1041
2021-01-02 13:00:00+00:00,2021-01-02 05:00:00-08:00,107.7,0.00927,0.00135,108.32,0.134,0.0928,98.72,0.00924,0.00135,99.34,0.133,0.0928
2021-01-02 14:00:00+00:00,2021-01-02 06:00:00-08:00,81.72,0.00689,0.001,82.19,0.103,0.0639,74.75,0.00687,0.001,75.22,0.102,0.0639
2021-01-02 15:00:00+00:00,2021-01-02 07:00:00-08:00,74.73,0.00628,0.00091,75.15,0.094,0.0598,68.33,0.00626,0.00091,68.75,0.093,0.0598
2021-01-02 16:00:00+00:00,2021-01-02 08:00:00-08:00,77.95,0.0067,0.00097,78.41,0.094,0.0613,71.58,0.00668,0.00097,72.03,0.093,0.0613
2021-01-02 17:00:00+00:00,2021-01-02 09:00:00-08:00,78.32,0.00674,0.00098,78.77,0.091,0.0652,71.96,0.00672,0.00098,72.41,0.09,0.0652
2021-01-02 18:00:00+00:00,2021-01-02 10:00:00-08:00,80.02,0.00686,0.001,80.48,0.094,0.0674,73.64,0.00684,0.00099,74.1,0.094,0.0674
2021-01-02 19:00:00+00:00,2021-01-02 11:00:00-08:00,76.61,0.00643,0.00093,77.05,0.093,0.0619,70.28,0.00641,0.00093,70.71,0.092,0.0619
2021-01-02 20:00:00+00:00,2021-01-02 12:00:00-08:00,73.06,0.00614,0.00089,73.48,0.088,0.0572,66.93,0.00612,0.00089,67.35,0.087,0.0572
2021-01-02 21:00:00+00:00,2021-01-02 13:00:00-08:00,78.96,0.0068,0.00099,79.42,0.09,0.0676,72.6,0.00678,0.00099,73.06,0.089,0.0676
2021-01-02 22:00:00+00:00,2021-01-02 14:00:00-08:00,78.78,0.0067,0.00097,79.23,0.089,0.0653,72.39,0.00668,0.00097,72.84,0.088,0.0653
2021-01-02 23:00:00+00:00,2021-01-02 15:00:00-08:00,73.57,0.00633,0.00092,73.99,0.085,0.0547,67.76,0.00631,0.00092,68.18,0.085,0.0547
2021-01-03 00:00:00+00:00,2021-01-02 16:00:00-08:00,70.01,0.00624,0.0009,70.43,0.082,0.0516,65.19,0.00622,0.0009,65.61,0.082,0.0516
2021-01-03 01:00:00+00:00,2021-01-02 17:00:00-08:00,69.72,0.00629,0.00091,70.15,0.083,0.0532,65.11,0.00628,0.00091,65.53,0.082,0.0532
2021-01-03 02:00:00+00:00,2021-01-02 18:00:00-08:00,66.99,0.00588,0.00085,67.38,0.08,0.0506,62.21,0.00586,0.00085,62.6,0.08,0.0506
2021-01-03 03:00:00+00:00,2021-01-02 19:00:00-08:00,69.4,0.00612,0.00089,69.82,0.083,0.0569,64.41,0.0061,0.00089,64.82,0.083,0.0569
2021-01-03 04:00:00+00:00,2021-01-02 20:00:00-08:00,71.77,0.00621,0.0009,72.19,0.085,0.0596,66.43,0.0062,0.0009,66.85,0.084,0.0596
2021-01-03 05:00:00+00:00,2021-01-02 21:00:00-08:00,61.57,0.00504,0.00073,61.91,0.076,0.0496,56.11,0.00502,0.00073,56.45,0.076,0.0496
2021-01-03 06:00:00+00:00,2021-01-02 22:00:00-08:00,75.94,0.0063,0.00092,76.36,0.096,0.0534,67.87,0.00627,0.00091,68.3,0.095,0.0534
2021-01-03 07:00:00+00:00,2021-01-02 23:00:00-08:00,82.71,0.00698,0.00102,83.18,0.105,0.049,73.92,0.00695,0.00101,74.39,0.104,0.049
2021-01-03 08:00:00+00:00,2021-01-03 00:00:00-08:00,114.82,0.01012,0.00148,115.51,0.138,0.0736,103.75,0.01008,0.00147,104.44,0.136,0.0736
2021-01-03 09:00:00+00:00,2021-01-03 01:00:00-08:00,113.7,0.00983,0.00144,114.37,0.136,0.0814,102.0,0.00979,0.00143,102.66,0.135,0.0814
2021-01-03 10:00:00+00:00,2021-01-03 02:00:00-08:00,115.71,0.01003,0.00147,116.39,0.137,0.0861,103.68,0.00999,0.00146,104.36,0.136,0.0861
2021-01-03 11:00:00+00:00,2021-01-03 03:00:00-08:00,105.98,0.0092,0.00135,106.6,0.127,0.0815,94.95,0.00916,0.00134,95.57,0.126,0.0815
2021-01-03 12:00:00+00:00,2021-01-03 04:00:00-08:00,100.76,0.00875,0.00128,101.36,0.12,0.0789,90.54,0.00871,0.00128,91.13,0.119,0.0789
2021-01-03 13:00:00+00:00,2021-01-03 05:00:00-08:00,91.82,0.00792,0.00116,92.36,0.112,0.0641,82.25,0.00788,0.00115,82.78,0.111,0.0641
2021-01-03 14:00:00+00:00,2021-01-03 06:00:00-08:00,95.44,0.00824,0.0012,96.0,0.113,0.062,85.92,0.00821,0.0012,86.48,0.112,0.062
2021-01-03 15:00:00+00:00,2021-01-03 07:00:00-08:00,93.86,0.00811,0.00118,94.41,0.11,0.0697,85.06,0.00809,0.00118,85.6,0.109,0.0697
2021-01-03 16:00:00+00:00,2021-01-03 08:00:00-08:00,115.93,0.01043,0.00152,116.63,0.124,0.0984,107.03,0.0104,0.00152,107.74,0.123,0.0983
