datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 07:00:00+00:00,2021-01-01 00:00:00-07:00,537.3,0.0179,0.00222,538.41,0.073,0.0053,537.26,0.0179,0.00222,538.37,0.073,0.0053
2021-01-01 08:00:00+00:00,2021-01-01 01:00:00-07:00,521.2,0.0177,0.0022,522.29,0.078,0.0108,521.17,0.0177,0.0022,522.26,0.078,0.0108
2021-01-01 09:00:00+00:00,2021-01-01 02:00:00-07:00,513.7,0.0167,0.00207,514.73,0.075,0.0085,513.67,0.0167,0.00207,514.7,0.075,0.0085
2021-01-01 10:00:00+00:00,2021-01-01 03:00:00-07:00,509.96,0.0163,0.002,510.96,0.078,0.0116,509.93,0.0163,0.002,510.93,0.078,0.0116
2021-01-01 11:00:00+00:00,2021-01-01 04:00:00-07:00,505.72,0.0159,0.00194,506.69,0.077,0.0091,505.69,0.0159,0.00194,506.67,0.077,0.0091
2021-01-01 12:00:00+00:00,2021-01-01 05:00:00-07:00,499.71,0.0151,0.00183,500.63,0.07,0.0035,499.68,0.0151,0.00183,500.6,0.07,0.0035
2021-01-01 13:00:00+00:00,2021-01-01 06:00:00-07:00,509.7,0.0156,0.00189,510.65,0.074,0.0045,509.65,0.0156,0.00189,510.6,0.074,0.0045
2021-01-01 14:00:00+00:00,2021-01-01 07:00:00-07:00,516.68,0.016,0.00195,517.66,0.075,0.0042,516.64,0.016,0.00195,517.62,0.075,0.0042
2021-01-01 15:00:00+00:00,2021-01-01 08:00:00-07:00,501.07,0.0154,0.00187,502.01,0.073,0.0037,501.03,0.0154,0.00187,501.97,0.073,0.0037
2021-01-01 16:00:00+00:00,2021-01-01 09:00:00-07:00,460.73,0.0142,0.00173,461.6,0.069,0.0027,460.71,0.0142,0.00173,461.58,0.069,0.0027
2021-01-01 17:00:00+00:00,2021-01-01 10:00:00-07:00,437.73,0.0142,0.00175,438.61,0.067,0.0022,437.73,0.0142,0.00175,438.61,0.067,0.0022
