datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 08:00:00+00:00,2021-01-01 00:00:00-08:00,137.57,0.0142,0.00311,138.81,0.116,0.219,40.69,0.0142,0.0031,41.94,0.115,0.219
2021-01-01 09:00:00+00:00,2021-01-01 01:00:00-08:00,130.43,0.0138,0.00307,131.65,0.111,0.217,31.53,0.0138,0.00307,32.75,0.11,0.217
2021-01-01 10:00:00+00:00,2021-01-01 02:00:00-08:00,126.34,0.0135,0.00306,127.55,0.108,0.218,24.43,0.0135,0.00306,25.64,0.108,0.218
2021-01-01 11:00:00+00:00,2021-01-01 03:00:00-08:00,126.71,0.0135,0.00307,127.92,0.109,0.219,24.47,0.0135,0.00307,25.68,0.109,0.219
2021-01-01 12:00:00+00:00,2021-01-01 04:00:00-08:00,131.56,0.014,0.00312,132.8,0.112,0.221,30.31,0.014,0.00312,31.55,0.112,0.221
2021-01-01 13:00:00+00:00,2021-01-01 05:00:00-08:00,134.4,0.0142,0.00311,135.64,0.114,0.219,36.05,0.0142,0.00311,37.3,0.113,0.219
2021-01-01 14:00:00+00:00,2021-01-01 06:00:00-08:00,138.14,0.0144,0.00309,139.39,0.118,0.214,43.93,0.0144,0.00309,45.18,0.117,0.214
2021-01-01 15:00:00+00:00,2021-01-01 07:00:00-08:00,120.88,0.0127,0.00283,122.01,0.102,0.199,29.6,0.0127,0.00283,30.72,0.102,0.199
2021-01-01 16:00:00+00:00,2021-01-01 08:00:00-08:00,130.5,0.0135,0.0029,131.66,0.108,0.202,42.56,0.0135,0.0029,43.73,0.108,0.202
2021-01-01 17:00:00+00:00,2021-01-01 09:00:00-08:00,125.0,0.0129,0.00277,126.11,0.103,0.193,41.06,0.0129,0.00277,42.17,0.103,0.193
2021-01-01 18:00:00+00:00,2021-01-01 10:00:00-08:00,120.87,0.0124,0.00267,121.94,0.101,0.189,39.5,0.0124,0.00267,40.57,0.1,0.189
2021-01-01 19:00:00+00:00,2021-01-01 11:00:00-08:00,127.6,0.013,0.00275,128.72,0.105,0.193,46.43,0.013,0.00275,47.55,0.105,0.193
2021-01-01 20:00:00+00:00,2021-01-01 12:00:00-08:00,121.47,0.0124,0.00267,122.55,0.101,0.189,40.62,0.0124,0.00267,41.69,0.1,0.189
