datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 07:00:00+00:00,2021-01-01 00:00:00-07:00,218.21,0.0214,0.0031,219.65,0.169,0.201,216.66,0.0214,0.0031,218.11,0.169,0.201
2021-01-01 08:00:00+00:00,2021-01-01 01:00:00-07:00,233.46,0.0233,0.00337,235.03,0.157,0.219,231.79,0.0233,0.00337,233.36,0.157,0.219
2021-01-01 09:00:00+00:00,2021-01-01 02:00:00-07:00,252.2,0.0253,0.00367,253.91,0.174,0.234,250.41,0.0253,0.00366,252.11,0.174,0.234
2021-01-01 10:00:00+00:00,2021-01-01 03:00:00-07:00,247.78,0.0251,0.00364,249.47,0.173,0.221,246.02,0.0251,0.00364,247.71,0.172,0.221
2021-01-01 11:00:00+00:00,2021-01-01 04:00:00-07:00,242.84,0.0245,0.00356,244.5,0.167,0.205,241.12,0.0245,0.00356,242.78,0.167,0.205
2021-01-01 12:00:00+00:00,2021-01-01 05:00:00-07:00,142.55,0.0143,0.00208,143.52,0.095,0.118,141.51,0.0143,0.00208,142.48,0.094,0.118
2021-01-01 13:00:00+00:00,2021-01-01 06:00:00-07:00,126.87,0.0126,0.00183,127.72,0.085,0.108,125.97,0.0126,0.00183,126.82,0.085,0.108
2021-01-01 14:00:00+00:00,2021-01-01 07:00:00-07:00,135.39,0.0134,0.00194,136.29,0.091,0.115,134.45,0.0134,0.00194,135.36,0.091,0.115
2021-01-01 15:00:00+00:00,2021-01-01 08:00:00-07:00,146.62,0.0145,0.00211,147.6,0.099,0.131,145.67,0.0145,0.00211,146.65,0.099,0.131
2021-01-01 16:00:00+00:00,2021-01-01 09:00:00-07:00,218.14,0.0225,0.00326,219.66,0.14,0.151,217.16,0.0225,0.00326,218.68,0.14,0.151
2021-01-01 17:00:00+00:00,2021-01-01 10:00:00-07:00,150.72,0.0152,0.0022,151.74,0.1,0.129,149.77,0.0152,0.0022,150.8,0.1,0.129
2021-01-01 18:00:00+00:00,2021-01-01 11:00:00-07:00,178.02,0.0182,0.00264,179.25,0.118,0.139,177.06,0.0182,0.00264,178.29,0.118,0.139
2021-01-01 19:00:00+00:00,2021-01-01 12:00:00-07:00,220.33,0.0227,0.00329,221.86,0.146,0.148,219.35,0.0227,0.00329,220.88,0.146,0.148
2021-01-01 20:00:00+00:00,2021-01-01 13:00:00-07:00,243.88,0.025,0.00363,245.57,0.159,0.158,242.85,0.025,0.00363,244.54,0.159,0.158
2021-01-01 21:00:00+00:00,2021-01-01 14:00:00-07:00,258.21,0.0262,0.0038,259.98,0.167,0.17,257.15,0.0262,0.0038,258.92,0.166,0.17
2021-01-01 22:00:00+00:00,2021-01-01 15:00:00-07:00,292.54,0.0295,0.00427,294.54,0.188,0.19,291.49,0.0295,0.00427,293.48,0.187,0.19
2021-01-01 23:00:00+00:00,2021-01-01 16:00:00-07:00,190.6,0.0181,0.00261,191.82,0.141,0.157,189.59,0.0181,0.00261,190.81,0.141,0.157
2021-01-02 00:00:00+00:00,2021-01-01 17:00:00-07:00,217.47,0.0206,0.00296,218.85,0.158,0.177,216.33,0.0205,0.00296,217.71,0.158,0.177
2021-01-02 01:00:00+00:00,2021-01-01 18:00:00-07:00,220.23,0.0209,0.00301,221.64,0.165,0.182,219.06,0.0209,0.00301,220.47,0.165,0.182
2021-01-02 02:00:00+00:00,2021-01-01 19:00:00-07:00,230.04,0.0218,0.00315,231.51,0.181,0.191,228.81,0.0218,0.00315,230.28,0.181,0.191
2021-01-02 03:00:00+00:00,2021-01-01 20:00:00-07:00,217.24,0.0206,0.00297,218.62,0.173,0.177,216.07,0.0206,0.00297,217.46,0.173,0.177
2021-01-02 04:00:00+00:00,2021-01-01 21:00:00-07:00,234.73,0.0223,0.00322,236.23,0.188,0.202,233.47,0.0223,0.00322,234.97,0.188,0.202
2021-01-02 05:00:00+00:00,2021-01-01 22:00:00-07:00,227.41,0.0218,0.00315,228.88,0.162,0.197,226.18,0.0218,0.00315,227.65,0.161,0.197
2021-01-02 06:00:00+00:00,2021-01-01 23:00:00-07:00,291.45,0.0279,0.00402,293.32,0.188,0.251,289.91,0.0279,0.00402,291.78,0.188,0.251
2021-01-02 07:00:00+00:00,2021-01-02 00:00:00-07:00,287.47,0.0281,0.00406,289.37,0.183,0.222,286.18,0.0281,0.00406,288.08,0.183,0.222
2021-01-02 08:00:00+00:00,2021-01-02 01:00:00-07:00,241.75,0.0231,0.00333,243.3,0.164,0.206,240.45,0.0231,0.00333,242.0,0.164,0.206
2021-01-02 09:00:00+00:00,2021-01-02 02:00:00-07:00,318.17,0.0316,0.00457,320.3,0.209,0.243,316.86,0.0316,0.00456,318.99,0.209,0.243
2021-01-02 10:00:00+00:00,2021-01-02 03:00:00-07:00,335.2,0.0335,0.00485,337.46,0.212,0.246,333.92,0.0335,0.00485,336.18,0.212,0.246
2021-01-02 11:00:00+00:00,2021-01-02 04:00:00-07:00,335.43,0.0333,0.00481,337.67,0.214,0.252,334.14,0.0333,0.00481,336.38,0.214,0.252
2021-01-02 12:00:00+00:00,2021-01-02 05:00:00-07:00,304.94,0.0305,0.00441,306.99,0.194,0.214,303.87,0.0305,0.0044,305.92,0.193,0.214
2021-01-02 13:00:00+00:00,2021-01-02 06:00:00-07:00,314.45,0.0314,0.00453,316.56,0.202,0.219,313.36,0.0313,0.00453,315.47,0.202,0.219
2021-01-02 14:00:00+00:00,2021-01-02 07:00:00-07:00,318.58,0.0312,0.00451,320.68,0.211,0.235,317.38,0.0312,0.0045,319.48,0.21,0.235
2021-01-02 15:00:00+00:00,2021-01-02 08:00:00-07:00,373.8,0.0371,0.00536,376.3,0.238,0.261,372.55,0.0371,0.00536,375.05,0.238,0.261
