state,name,id,type,heatInput,load,co2Mass,so2Mass,noxMass,heatRate,co2Rate
AL,Barry,3,Coal,39895820.18,3911242.75,3662804048.322375,1207889.61195,1483599.4627800002,10.20029252339298,936.4808789539782
AL,Barry,3,Gas,99645513.38,12334645.5,6884070951.313499,1224151.81026,1761644.4078000002,8.078506462143562,558.1085367482592
AL,Gadsden,7,Gas,20971.0,13256.0,1130579.30625,5.44311,706.6971149999999,1.5820006035003018,85.28811905929389
TX,Copper Station,9,Gas,851914.95,47450.37,,,80098.08520500001,17.953810476082694,
AL,Greene County,10,Oil,1294552.525,96161.25,82689981.69606,7604.931854999999,53161.041000000005,13.462309662156013,859.9095966000858
AL,Greene County,10,Gas,13512931.73,1325588.0,741419485.704435,10929.76488,771953.653605,10.193915251194188,559.3136673720907
AL,E C Gaston,26,Coal,47048062.33,4435001.0,3468573859.22787,1047433.0794449999,2287841.644905,10.608354390449968,782.0908854874824
AL,Colbert,47,Oil,529235.7,38946.0,28805482.431,5586.44523,96705.921,13.588961639192727,739.6262114466184
KY,Smith Generating Facility,54,Oil,7625243.901,570532.55,414250187.17116,3610.5963,163702.440435,13.365133857831598,726.0763424824052
KY,Smith Generating Facility,54,Gas,8926540.671,711639.44,484406736.77532,3965.3056350000006,170442.824985,12.543628373098603,680.6912455207936
NE,Platte,59,Coal,5746158.28,492679.3,546718797.81027,409666.6023,484302.52661999996,11.663080385151153,1109.684936652037
NE,Gerald Whelan Energy Center,60,Coal,16222195.58,1732258.67,1543468243.2777748,2422525.958745,868874.57745,9.36476512482977,891.0148755542236
KS,Holcomb,108,Coal,17396628.97,1823357.32,1655208344.355045,1137613.61874,1543333.059105,9.540987265183984,907.7805684050151
AZ,Cholla,113,Coal,28823090.75,2559928.09,2682767048.873775,1050753.3765450001,2342130.3168599997,11.25933609721045,1047.985316210103
AZ,Ocotillo Power Plant,116,Gas,7152196.551,770772.67,385593092.99061,1945.9118250000001,27470.468985,9.279255517713153,500.2682476930714
AZ,APS West Phoenix Power Plant,117,Gas,14348724.95,1892985.92,773576977.70148,3905.4314249999998,108673.50552,7.579942776330846,408.6543748309972
AZ,APS Saguaro Power Plant,118,Gas,817222.258,61337.17,44058835.682715,222.260325,13531.571460000001,13.32344250639539,718.3056486420062
AZ,Yucca Power Plant,120,Oil,1342415.267,112618.7,72375835.27861501,365.595555,62819.839695,11.920003223265763,642.6626775004064
AZ,Yucca Power Plant,120,Gas,2998823.836,274612.51,161679404.277225,816.4665,70581.714555,10.920201108099555,588.7546939402906
AZ,De Moss Petrie Generating Station,124,Gas,13505.707,972.1,728125.731885,21.77244,282.134535,13.893330933031582,749.0234871772451
AZ,Irvington Generating Station,126,Oil,1961282.351,175146.98,105735989.68764,3113.4589199999996,138361.13464499998,11.197922744657086,603.6986175133593
AZ,Irvington Generating Station,126,Gas,6403294.199,594004.94,345215496.103845,10165.91511,434948.03387999994,10.779866913228028,581.1660355953353
SC,Cross,130,Coal,81984525.52,8304369.02,7630881534.4731455,2634661.19196,2632728.8879099996,9.87245693472326,918.8996197176635
FL,Seminole (136),136,Coal,61933564.35,6556721.03,5764594446.410399,4483420.76094,1745814.02955,9.445813550191566,879.1886096777247
AZ,Agua Fria Generating Station,141,Gas,1491374.789,139824.84,80402605.43706,406.41888000000006,183320.31606,10.666021781251459,575.0237614222194
AZ,Kyrene Generating Station,147,Gas,8832022.023,1282595.11,476156751.933255,2404.04025,38853.826365,6.886056210677428,371.2447897398073
AZ,Apache Station,160,Coal,14300371.59,1349027.05,1272021827.19651,263334.940245,1383266.61615,10.600507669583052,942.917954978375
AZ,Apache Station,160,Gas,22046575.54,2144586.4,1688745046.9441051,265442.331,1591090.906245,10.280106010184529,787.4455638365072
OK,Grand River Dam Authority,165,Coal,17352239.98,1511178.47,1637407297.201395,1273602.46461,1204968.47625,11.4825881419552,1083.5300592929934
OK,Grand River Dam Authority,165,Oil,17352239.98,1511178.47,1637407297.201395,1273602.46461,1204968.47625,11.4825881419552,1083.5300592929934
OK,Grand River Dam Authority,165,Gas,28734897.48,3264126.06,2251078660.42623,1276700.501385,1339937.64618,8.803243793838035,689.6420723488326
AR,Lake Catherine,170,Gas,2440465.11,221139.44,131571557.988375,664.0594199999999,254938.94306999998,11.03586547022096,594.9710191378571
AR,Thomas Fitzhugh,201,Oil,4219094.044,489399.68,228282424.96099502,6035.501805,144329.50476,8.620957913172317,466.4539726732045
AR,McClellan,203,Oil,519286.518,350185.94,28296977.115764998,75657.41462999998,74610.52314,1.4828879708876945,80.80557750481073
CA,Moss Landing Power Plant,260,Gas,37132666.55,5215584.91,1898141329.88673,10106.0409,162254.573175,7.119559395688181,363.93642566289464
TX,Limestone,298,Coal,80651226.48,7960767.63,7669165014.53583,5748827.71626,6413210.09412,10.131086627383446,963.3700380393881
CA,Cabrillo Power I Encina Power Station,302,Gas,3546606.294,356166.09,191213987.66398498,966.152025,12496.473375000001,9.957731501053344,536.8674700726983
CA,AES Alamitos,315,Oil,8263096.1,670618.0,445484534.0625,2248.911615,29467.183169999997,12.321613944153004,664.2895568900626
CA,AES Alamitos,315,Gas,32573933.86,4213860.27,1756144591.4800203,8865.919005,88893.24378,7.730188419370632,416.75434849671
CA,El Segundo,330,Gas,2437611.966,288596.24,131415843.311865,664.0594199999999,5793.28341,8.44644395228434,455.3622850798923
CA,AES Huntington Beach,335,Oil,1242383.4,112098.0,66980190.105000004,338.380005,10556.004659999999,11.083011293689449,597.5145863886956
CA,AES Huntington Beach,335,Gas,28481531.93,4128310.67,1535518505.82642,7751.8958250000005,89792.264115,6.89907669424501,371.94838968512516
CA,Long Beach Generating Station,341,Gas,273343.682,15663.36,14736567.151800001,75.296355,3134.324175,17.451152370883385,940.8305211525496
CA,"Ormond Beach Power, LLC.",350,Gas,3506866.173,315890.55,189064956.2103,954.3586200000001,12753.20673,11.101522894559524,598.5141252573083
CA,AES Redondo Beach,356,Oil,3665361.5,239158.0,197608933.4025,997.9035,15912.024899999999,15.326108681290194,826.2693842668864
CA,Mountainview Generating Station,358,Gas,27712676.6,3890699.91,1494067021.4384248,7542.33609,74104.31391,7.12279981521371,384.0098326777469
CA,Grayson Power Plant,377,Oil,993821.01,54245.06,53391490.483995005,197.76632999999998,11195.570085,18.32094959430407,984.2645668378836
CA,Grayson Power Plant,377,Gas,1280652.621,80723.44,68854383.51264001,275.78424,13705.75098,15.864693340620766,852.9664185847383
IL,Joliet 29,384,Gas,5753045.519,572854.87,309387749.50683,1565.80131,239822.519415,10.042762696597133,540.0805085358355
CA,El Centro,389,Oil,3839893.748,396671.7,207019895.505795,1045.07712,73391.2665,9.68028157289769,521.8922739025622
CA,El Centro,389,Gas,9041599.369,1084794.08,487457805.8613151,2461.1929050000003,85636.44963,8.334853163099858,449.3551493766587
CA,Harbor Generating Station,399,Oil,1242653.159,129156.99,65869358.40183,338.380005,10403.59758,9.621261373464959,509.9945299269517
CA,Haynes Generating Station,400,Gas,20130552.56,2638026.93,1065468040.6221601,5480.304585000001,59552.159325,7.630912456227275,403.88823499317346
CA,Scattergood Generating Station,404,Gas,14356018.7,1940352.9,759830692.788495,3908.1529800000003,37950.270105,7.398663768843286,391.5940717734877
CA,Valley Generating Station,408,Oil,111695.931,10205.99,5923999.69665,30.844290000000004,976.13106,10.944154462232474,580.4434157440876
CA,Valley Generating Station,408,Gas,14898151.25,2124448.55,788540658.6180301,4055.1169499999996,57048.328725,7.012714546558447,371.1742789054741
CA,Glenarm,422,Gas,500949.92,49022.42,27007537.922609996,133.35619499999999,4512.33819,10.218792136332723,550.9221683182918
CO,Cherokee,469,Gas,38046326.49,3548290.24,2051113488.1657503,10309.25034,793355.0549400001,10.722439235974113,578.0568525774685
CO,Comanche (470),470,Coal,64057588.41,6360661.54,6025630502.754675,2439335.18961,3051771.247185,10.07090033122561,947.3276427084776
CO,Martin Drake,492,Gas,2645983.904,237899.44,142292243.03424,6858.3186,157497.29503500002,11.122278825036327,598.1192853343413
CO,Hayden,525,Coal,32993464.15,3263658.57,3070937747.47014,1788478.032915,782217.544695,10.109349198865493,940.9494533829684
CO,Hayden,525,Oil,32993464.15,3263658.57,3070937747.47014,1788478.032915,782217.544695,10.109349198865493,940.9494533829684
CO,Hayden,525,Gas,14539762.24,1357681.37,1353319736.231625,770254.4961,347930.84868000005,10.709259596012576,996.7874393324149
AL,McWilliams,533,Oil,3358626.398,309632.43,181072345.195845,924.4215149999999,67605.24057000001,10.847140262407269,584.7977396807079
AL,McWilliams,533,Gas,28253099.58,2673963.41,1523194484.69118,7700.18628,194741.77521000002,10.566000818986524,569.6392400115826
CT,Branford,540,Oil,2827.5,73.6,,,860.918565,38.4171195652174,
CT,Cos Cob,542,Oil,7642.5,342.64,,,4161.257594999999,22.30475134251693,
CT,Devon,544,Oil,128395.984,9258.9,8782327.350359999,1113.115995,38557.17687,13.867304323407748,948.528156731361
CT,Devon,544,Gas,121498.284,8992.36,8782327.350359999,1113.115995,34802.338155,13.511278907872905,976.6432116107449
CT,Montville,546,Oil,1372779.118,112095.66,96417726.4692,158643.06969,83463.741555,12.246496590501362,860.1379078297946
CT,Montville,546,Gas,642046.853,56373.4,42730431.986625,59817.964530000005,32285.806965,11.389180943494626,757.9892642030638
CT,Tunnel,557,Oil,871.1,52.51,,,212.28129,16.589221100742716,
CT,Franklin Drive,561,Oil,7287.5,153.92,,,3967.120005,47.34602390852391,
CT,Middletown,562,Oil,2694548.639,242441.14,179886762.35586,232665.73695000002,187282.90013999998,11.11423844566974,741.9811767749483
CT,Middletown,562,Gas,1769993.146,174534.78,112184049.29353501,108940.21791,122401.93612500001,10.141205930416849,642.7604245614256
CT,South Meadow Station,563,Oil,27322.5,1720.65,2007691.1235,,9484.619175,15.879173568128323,1166.8213311829832
FL,Curtis H. Stanton Energy Center,564,Coal,44125613.09,4337311.68,3759089909.10153,1339531.2273,3814059.7517999997,10.17349370889574,866.6865990828518
FL,Curtis H. Stanton Energy Center,564,Oil,12776476.2,1622625.02,688818033.60702,3477.2401050000003,22987.160714999998,7.873954883303845,424.50845088473983
FL,Curtis H. Stanton Energy Center,564,Gas,56902089.29,5959936.7,4447907942.70855,1343008.4674050002,3837046.912515,9.54743181920036,746.3012052977929
CT,Torrington Terminal,565,Oil,1987.5,58.05,,,1082.271705,34.23772609819122,
CT,Bridgeport Harbor Station,568,Oil,22907338.46,3583156.6,1234994475.4009652,6234.17532,62514.11835,6.393060928456211,344.6666203204641
CT,Norwich,581,Oil,4031.6,208.65,,,2194.4805149999997,19.322310088665226,
VT,J C McNeil,589,Oil,3585296.175,258762.25,340721404.12575,998.810685,112610.68842,13.855561137685267,1316.7353589086122
VT,J C McNeil,589,Gas,3585296.175,258762.25,340721404.12575,998.810685,112610.68842,13.855561137685267,1316.7353589086122
DE,Christiana Substation,591,Oil,34782.9,1659.67,2554360.8045,,12213.431654999998,20.957720510703936,1539.0775301716606
DE,Delaware City,592,Oil,102.0,1.85,,,10.88622,55.13513513513513,
DE,Edge Moor,593,Oil,4299272.54,385962.56,236914553.319645,65842.58011499999,123693.76756499999,11.139092195885528,613.8278109660299
DE,Edge Moor,593,Gas,4295753.84,385751.56,236914553.319645,65842.58011499999,123328.17201000001,11.136063429011148,614.1635650667102
DE,Indian River,594,Coal,1654533.968,159988.33,153999594.27951,352162.866705,73225.251645,10.341591589836586,962.5676715264794
DE,Indian River,594,Oil,13099.1,441.86,,,1456.031925,29.645362784592404,
DE,West Substation,597,Oil,1187.1,58.62,,,119.74842000000001,20.250767656090073,
MD,Brandon Shores,602,Coal,23645547.9,2421014.04,2200860332.521455,948093.6003900002,964617.06798,9.766795032712821,909.0654974150644
WA,Fredonia Generating Station,607,Oil,586161.144,56891.15,31635680.999415,355.61652000000004,8783.36517,10.303204347249087,556.0738533043364
FL,Cape Canaveral,609,Oil,34962955.96,5449373.18,1886658549.566655,9550.84368,121818.61617000001,6.415959194778435,346.21569990672856
FL,Fort Myers,612,Oil,3107284.809,286100.9,180431240.2779,15453.896475000001,70377.59793,10.860800539250311,630.6559688484027
FL,Fort Myers,612,Gas,74317969.26,10739508.53,4019592506.192775,34834.08963,839031.81969,6.920053096694176,374.28086163946415
FL,Lauderdale,613,Oil,27739715.42,4153199.4,1500673630.6739552,7661.177325000001,130443.22396499998,6.679119577066298,361.3295404679956
FL,Port Everglades,617,Oil,46927506.31,7466379.08,2530564393.0344896,12784.05102,160800.35562000002,6.285175961089831,338.9279282394123
FL,Riviera Beach Energy Center,619,Oil,42804804.52,6874853.0,2309233180.603125,11681.821245,157524.510585,6.226286514053465,335.89564469278474
FL,Sanford,620,Gas,63793974.52,9308284.55,3439297285.605405,17363.5209,758475.60606,6.853462007669286,369.4877683563514
